ShipmentID,OrderNumber,WarehouseCode,CarrierCode,ShipDate,DeliveryDate,TransitDays,WeatherDelay,LateDelivery
88,SO0000088,SEA,CAR002,2021-10-19,2021-10-26,7,False,False
89,SO0000089,DAL,CAR002,2022-10-07,2022-10-15,8,False,False
90,SO0000090,MIA,CAR004,2021-12-05,2021-12-06,1,False,False
91,SO0000091,DEN,CAR003,2022-11-20,2022-11-24,4,False,False
92,SO0000092,PHX,CAR003,2024-04-12,2024-04-13,1,False,False
93,SO0000093,LAX,CAR005,2021-03-16,2021-03-23,7,False,False
94,SO0000094,LAX,CAR004,2021-12-14,2021-12-19,5,False,False
95,SO0000095,DEN,CAR005,2025-07-24,2025-07-30,6,False,False
96,SO0000096,MIA,CAR002,2023-05-24,2023-05-27,3,False,False
97,SO0000097,DEN,CAR004,2023-03-01,2023-03-05,4,False,True
98,SO0000098,LAX,CAR001,2025-07-19,2025-07-23,4,False,False
99,SO0000099,ATL,CAR001,2022-02-15,2022-02-18,3,False,False
100,SO0000100,CHI,CAR004,2022-08-14,2022-08-20,6,False,True
101,SO0000101,LAX,CAR005,2024-08-11,2024-08-18,7,False,False
102,SO0000102,LAX,CAR004,2024-01-04,2024-01-06,2,False,False
103,SO0000103,ATL,CAR001,2024-03-31,2024-04-02,2,False,False
104,SO0000104,PHX,CAR003,2021-03-02,2021-03-07,5,False,False
105,SO0000105,MIA,CAR003,2025-04-25,2025-04-26,1,False,False
106,SO0000106,LAX,CAR003,2021-07-03,2021-07-10,7,False,False
107,SO0000107,PHX,CAR003,2023-03-26,2023-03-29,3,False,False
108,SO0000108,ATL,CAR005,2024-07-28,2024-08-04,7,False,False
109,SO0000109,DAL,CAR003,2024-01-06,2024-01-08,2,False,False
110,SO0000110,DAL,CAR003,2024-05-27,2024-06-04,8,True,False
111,SO0000111,LAX,CAR004,2025-08-08,2025-08-11,3,False,True
112,SO0000112,DAL,CAR002,2025-05-18,2025-05-22,4,False,False
113,SO0000113,CHI,CAR004,2025-12-18,2025-12-26,8,False,False
114,SO0000114,SEA,CAR002,2022-08-04,2022-08-11,7,False,False
115,SO0000115,MIA,CAR001,2023-01-22,2023-01-25,3,False,False
116,SO0000116,DEN,CAR001,2021-03-02,2021-03-09,7,False,False
117,SO0000117,SEA,CAR005,2024-06-20,2024-06-22,2,False,False
118,SO0000118,ATL,CAR004,2024-01-27,2024-02-02,6,False,False
119,SO0000119,DEN,CAR005,2022-02-28,2022-03-01,1,False,False
120,SO0000120,DEN,CAR004,2025-11-09,2025-11-17,8,False,False
121,SO0000121,LAX,CAR003,2021-12-02,2021-12-10,8,False,False
122,SO0000122,DEN,CAR002,2022-04-24,2022-05-02,8,False,False
123,SO0000123,DAL,CAR004,2024-12-15,2024-12-17,2,False,False
124,SO0000124,PHX,CAR002,2022-04-18,2022-04-19,1,False,False
125,SO0000125,ATL,CAR005,2023-04-12,2023-04-15,3,False,False
126,SO0000126,PHX,CAR003,2025-03-16,2025-03-22,6,False,True
127,SO0000127,ATL,CAR005,2021-03-30,2021-04-04,5,False,False
128,SO0000128,DEN,CAR005,2021-01-09,2021-01-14,5,False,False
129,SO0000129,ATL,CAR003,2023-08-18,2023-08-23,5,False,False
130,SO0000130,DEN,CAR004,2022-06-14,2022-06-20,6,False,False
131,SO0000131,LAX,CAR001,2021-08-21,2021-08-22,1,False,False
132,SO0000132,CHI,CAR002,2024-07-04,2024-07-12,8,False,True
133,SO0000133,PHX,CAR004,2024-10-04,2024-10-06,2,False,False
134,SO0000134,CHI,CAR001,2023-12-26,2024-01-02,7,False,True
135,SO0000135,ATL,CAR003,2023-03-06,2023-03-14,8,False,False
136,SO0000136,CHI,CAR002,2024-04-15,2024-04-18,3,False,False
137,SO0000137,ATL,CAR001,2025-10-23,2025-10-31,8,False,False
138,SO0000138,DAL,CAR004,2025-11-13,2025-11-20,7,False,False
139,SO0000139,DEN,CAR004,2021-12-03,2021-12-10,7,False,True
140,SO0000140,PHX,CAR005,2023-01-30,2023-02-02,3,False,False
141,SO0000141,SEA,CAR004,2023-05-25,2023-05-27,2,False,False
142,SO0000142,DAL,CAR002,2022-01-24,2022-01-27,3,False,False
143,SO0000143,DEN,CAR004,2025-12-22,2025-12-25,3,False,False
144,SO0000144,CHI,CAR001,2025-03-13,2025-03-18,5,False,False
145,SO0000145,CHI,CAR001,2021-03-07,2021-03-12,5,False,True
146,SO0000146,CHI,CAR004,2024-01-19,2024-01-22,3,False,False
147,SO0000147,CHI,CAR001,2025-01-28,2025-01-30,2,False,False
148,SO0000148,DAL,CAR004,2021-06-15,2021-06-18,3,False,False
149,SO0000149,ATL,CAR004,2023-05-13,2023-05-19,6,False,False
150,SO0000150,PHX,CAR004,2022-07-13,2022-07-14,1,False,False
151,SO0000151,MIA,CAR003,2025-05-11,2025-05-17,6,False,False
152,SO0000152,DAL,CAR003,2025-12-19,2025-12-20,1,False,False
153,SO0000153,MIA,CAR005,2021-10-05,2021-10-13,8,False,False
154,SO0000154,SEA,CAR005,2024-06-28,2024-07-04,6,False,False
155,SO0000155,DAL,CAR001,2021-07-27,2021-07-28,1,False,False
156,SO0000156,LAX,CAR002,2022-08-06,2022-08-08,2,False,False
157,SO0000157,MIA,CAR003,2025-04-17,2025-04-20,3,False,False
158,SO0000158,PHX,CAR003,2021-03-14,2021-03-16,2,False,False
159,SO0000159,ATL,CAR002,2021-10-09,2021-10-15,6,False,False
160,SO0000160,DEN,CAR003,2024-02-17,2024-02-19,2,False,False
161,SO0000161,ATL,CAR002,2023-09-13,2023-09-20,7,False,False
162,SO0000162,MIA,CAR005,2022-08-27,2022-09-04,8,False,False
163,SO0000163,PHX,CAR003,2025-02-15,2025-02-18,3,False,False
164,SO0000164,MIA,CAR005,2023-08-05,2023-08-06,1,False,False
165,SO0000165,LAX,CAR005,2022-07-01,2022-07-06,5,True,False
166,SO0000166,SEA,CAR004,2021-09-16,2021-09-22,6,False,False
167,SO0000167,CHI,CAR001,2023-03-14,2023-03-19,5,False,False
168,SO0000168,SEA,CAR003,2023-12-27,2023-12-29,2,False,False
169,SO0000169,DAL,CAR001,2022-08-14,2022-08-15,1,False,False
170,SO0000170,MIA,CAR003,2021-11-19,2021-11-23,4,False,False
171,SO0000171,PHX,CAR001,2021-05-28,2021-06-05,8,False,False
172,SO0000172,MIA,CAR001,2024-06-30,2024-07-03,3,False,False
173,SO0000173,DAL,CAR003,2022-07-03,2022-07-06,3,False,False
174,SO0000174,CHI,CAR002,2025-07-16,2025-07-17,1,False,False
175,SO0000175,LAX,CAR003,2022-10-18,2022-10-22,4,False,False
176,SO0000176,MIA,CAR005,2021-09-29,2021-10-07,8,False,False
177,SO0000177,DEN,CAR002,2022-11-02,2022-11-06,4,False,False
178,SO0000178,PHX,CAR004,2023-10-26,2023-10-27,1,False,False
179,SO0000179,CHI,CAR003,2021-09-20,2021-09-22,2,False,False
180,SO0000180,LAX,CAR005,2021-04-09,2021-04-12,3,False,False
181,SO0000181,PHX,CAR003,2021-10-25,2021-11-02,8,False,False
182,SO0000182,LAX,CAR003,2021-05-21,2021-05-23,2,False,False
183,SO0000183,PHX,CAR001,2021-10-12,2021-10-20,8,False,False
184,SO0000184,PHX,CAR003,2022-01-13,2022-01-19,6,False,False
185,SO0000185,MIA,CAR001,2023-09-22,2023-09-26,4,False,True
186,SO0000186,PHX,CAR001,2025-11-11,2025-11-17,6,False,False
187,SO0000187,CHI,CAR005,2021-09-16,2021-09-18,2,False,False
188,SO0000188,ATL,CAR003,2023-06-30,2023-07-06,6,False,False
189,SO0000189,DEN,CAR005,2023-11-24,2023-12-02,8,False,False
190,SO0000190,CHI,CAR002,2025-10-20,2025-10-27,7,False,False
191,SO0000191,SEA,CAR004,2023-08-24,2023-08-31,7,False,False
192,SO0000192,DAL,CAR002,2021-07-19,2021-07-25,6,False,False
193,SO0000193,ATL,CAR004,2022-11-29,2022-12-03,4,False,False
194,SO0000194,CHI,CAR003,2023-07-27,2023-07-31,4,False,False
195,SO0000195,DEN,CAR003,2025-03-07,2025-03-15,8,False,False
196,SO0000196,LAX,CAR003,2025-05-21,2025-05-26,5,False,False
197,SO0000197,MIA,CAR002,2023-11-06,2023-11-13,7,False,False
198,SO0000198,MIA,CAR005,2025-01-06,2025-01-14,8,False,False
199,SO0000199,MIA,CAR003,2021-08-08,2021-08-14,6,False,False
200,SO0000200,ATL,CAR002,2025-12-10,2025-12-16,6,False,False
201,SO0000201,CHI,CAR005,2022-10-24,2022-10-28,4,False,False
202,SO0000202,CHI,CAR005,2024-08-03,2024-08-08,5,False,True
203,SO0000203,DEN,CAR004,2024-09-28,2024-10-05,7,False,False
204,SO0000204,SEA,CAR001,2025-09-02,2025-09-04,2,False,False
205,SO0000205,PHX,CAR001,2021-09-22,2021-09-30,8,False,False
206,SO0000206,DAL,CAR004,2025-12-27,2025-12-29,2,False,False
207,SO0000207,SEA,CAR001,2021-07-08,2021-07-10,2,False,False
208,SO0000208,DEN,CAR002,2024-03-28,2024-03-31,3,False,False
209,SO0000209,PHX,CAR005,2022-10-26,2022-10-30,4,False,False
210,SO0000210,DAL,CAR003,2025-12-08,2025-12-10,2,False,False
211,SO0000211,ATL,CAR003,2023-08-05,2023-08-07,2,False,False
212,SO0000212,ATL,CAR005,2024-11-05,2024-11-10,5,False,False
213,SO0000213,LAX,CAR001,2025-09-06,2025-09-10,4,False,False
214,SO0000214,DEN,CAR002,2021-10-09,2021-10-11,2,False,False
215,SO0000215,LAX,CAR005,2021-07-12,2021-07-15,3,False,False
216,SO0000216,DEN,CAR003,2022-10-26,2022-10-27,1,False,False
217,SO0000217,ATL,CAR003,2021-02-22,2021-02-28,6,False,False
218,SO0000218,ATL,CAR004,2023-02-06,2023-02-10,4,False,True
219,SO0000219,PHX,CAR005,2024-04-30,2024-05-01,1,False,False
220,SO0000220,CHI,CAR005,2024-06-29,2024-07-05,6,False,False
221,SO0000221,CHI,CAR005,2021-08-28,2021-09-05,8,False,False
222,SO0000222,SEA,CAR005,2024-04-02,2024-04-04,2,False,False
223,SO0000223,PHX,CAR002,2021-03-14,2021-03-19,5,False,False
224,SO0000224,DEN,CAR001,2022-05-11,2022-05-18,7,False,False
225,SO0000225,DEN,CAR005,2024-11-12,2024-11-15,3,False,False
226,SO0000226,LAX,CAR003,2024-05-23,2024-05-24,1,False,False
227,SO0000227,CHI,CAR005,2025-12-17,2025-12-20,3,False,False
228,SO0000228,DEN,CAR002,2025-10-03,2025-10-08,5,False,False
229,SO0000229,DAL,CAR003,2025-05-21,2025-05-29,8,False,False
230,SO0000230,DAL,CAR004,2021-02-25,2021-03-04,7,False,False
231,SO0000231,DEN,CAR004,2021-09-25,2021-09-27,2,False,False
232,SO0000232,PHX,CAR005,2023-12-09,2023-12-16,7,False,False
233,SO0000233,DAL,CAR005,2024-11-29,2024-12-01,2,False,False
234,SO0000234,DAL,CAR001,2021-07-29,2021-08-01,3,False,False
235,SO0000235,SEA,CAR003,2025-02-17,2025-02-24,7,False,False
236,SO0000236,DEN,CAR002,2021-04-21,2021-04-29,8,False,False
237,SO0000237,CHI,CAR002,2023-04-01,2023-04-05,4,False,False
238,SO0000238,DEN,CAR002,2024-02-24,2024-02-28,4,False,False
239,SO0000239,DEN,CAR005,2022-11-19,2022-11-23,4,False,False
240,SO0000240,DEN,CAR004,2021-08-15,2021-08-21,6,False,False
241,SO0000241,CHI,CAR004,2023-03-06,2023-03-10,4,False,False
242,SO0000242,LAX,CAR001,2025-04-19,2025-04-22,3,False,False
243,SO0000243,DAL,CAR001,2021-05-01,2021-05-05,4,False,False
244,SO0000244,ATL,CAR002,2025-11-15,2025-11-23,8,False,True
245,SO0000245,LAX,CAR005,2024-01-13,2024-01-21,8,False,False
246,SO0000246,DEN,CAR004,2023-11-24,2023-12-02,8,True,False
247,SO0000247,DEN,CAR005,2022-10-13,2022-10-18,5,False,False
248,SO0000248,LAX,CAR002,2021-06-26,2021-06-29,3,False,False
249,SO0000249,ATL,CAR003,2022-07-12,2022-07-19,7,False,False
250,SO0000250,DEN,CAR003,2021-08-17,2021-08-19,2,False,True
251,SO0000251,ATL,CAR002,2025-09-22,2025-09-24,2,False,False
252,SO0000252,DEN,CAR004,2025-05-17,2025-05-19,2,False,False
253,SO0000253,DAL,CAR005,2022-03-25,2022-03-27,2,False,False
254,SO0000254,ATL,CAR001,2021-04-14,2021-04-21,7,False,False
255,SO0000255,ATL,CAR002,2022-05-11,2022-05-21,10,False,True
256,SO0000256,MIA,CAR003,2024-05-10,2024-05-18,8,False,False
257,SO0000257,DAL,CAR001,2021-09-04,2021-09-08,4,False,False
258,SO0000258,ATL,CAR002,2025-01-02,2025-01-09,7,False,False
259,SO0000259,DAL,CAR005,2025-03-24,2025-03-30,6,False,False
260,SO0000260,CHI,CAR003,2025-03-31,2025-04-05,5,False,False
261,SO0000261,LAX,CAR005,2022-06-01,2022-06-08,7,False,False
262,SO0000262,MIA,CAR004,2021-06-15,2021-06-17,2,False,False
263,SO0000263,ATL,CAR005,2021-05-03,2021-05-14,11,True,False
264,SO0000264,LAX,CAR003,2021-01-18,2021-01-22,4,False,False
265,SO0000265,SEA,CAR001,2021-08-09,2021-08-11,2,False,False
266,SO0000266,CHI,CAR003,2023-01-22,2023-01-26,4,False,False
267,SO0000267,MIA,CAR005,2024-09-01,2024-09-02,1,False,False
268,SO0000268,PHX,CAR004,2022-10-14,2022-10-16,2,False,False
269,SO0000269,LAX,CAR005,2023-02-03,2023-02-04,1,False,False
270,SO0000270,SEA,CAR003,2024-02-29,2024-03-04,4,False,False
271,SO0000271,ATL,CAR005,2022-05-06,2022-05-10,4,False,False
272,SO0000272,MIA,CAR003,2025-12-18,2025-12-19,1,False,False
273,SO0000273,CHI,CAR003,2023-08-27,2023-08-29,2,False,False
274,SO0000274,PHX,CAR001,2022-05-15,2022-05-19,4,False,False
275,SO0000275,SEA,CAR002,2022-05-07,2022-05-14,7,False,False
276,SO0000276,SEA,CAR003,2021-03-14,2021-03-16,2,False,False
277,SO0000277,PHX,CAR005,2021-08-27,2021-09-04,8,False,False
278,SO0000278,CHI,CAR002,2022-11-29,2022-12-01,2,False,False
279,SO0000279,LAX,CAR005,2022-02-27,2022-03-03,4,False,False
280,SO0000280,CHI,CAR002,2025-08-20,2025-08-28,8,False,False
281,SO0000281,MIA,CAR002,2021-10-15,2021-10-17,2,False,False
282,SO0000282,MIA,CAR005,2022-07-11,2022-07-14,3,False,False
283,SO0000283,CHI,CAR003,2024-07-21,2024-07-27,6,False,False
284,SO0000284,DAL,CAR004,2021-05-02,2021-05-07,5,False,False
285,SO0000285,ATL,CAR004,2022-01-25,2022-01-28,3,False,False
286,SO0000286,CHI,CAR005,2023-12-19,2023-12-30,11,True,False
287,SO0000287,DAL,CAR002,2023-12-14,2023-12-17,3,False,False
288,SO0000288,MIA,CAR003,2021-02-28,2021-03-02,2,False,False
289,SO0000289,DEN,CAR001,2021-11-20,2021-11-26,6,False,False
290,SO0000290,PHX,CAR002,2022-07-06,2022-07-12,6,False,False
291,SO0000291,DEN,CAR001,2024-10-13,2024-10-18,5,False,False
292,SO0000292,ATL,CAR005,2023-11-28,2023-11-30,2,False,False
293,SO0000293,ATL,CAR003,2023-11-30,2023-12-08,8,False,False
294,SO0000294,DEN,CAR005,2021-11-16,2021-11-23,7,False,False
295,SO0000295,PHX,CAR001,2025-08-02,2025-08-06,4,False,False
296,SO0000296,SEA,CAR001,2025-07-19,2025-07-21,2,False,False
297,SO0000297,PHX,CAR004,2025-04-08,2025-04-11,3,False,False
298,SO0000298,DAL,CAR001,2021-01-24,2021-01-26,2,False,False
299,SO0000299,PHX,CAR005,2022-01-22,2022-01-27,5,False,False
300,SO0000300,PHX,CAR005,2021-04-22,2021-04-23,1,False,False
301,SO0000301,ATL,CAR003,2024-08-16,2024-08-23,7,False,False
302,SO0000302,LAX,CAR004,2023-01-19,2023-01-22,3,False,False
303,SO0000303,CHI,CAR001,2025-10-24,2025-10-30,6,False,False
304,SO0000304,DEN,CAR004,2023-08-28,2023-09-05,8,False,False
305,SO0000305,SEA,CAR001,2025-10-28,2025-11-07,10,False,True
306,SO0000306,LAX,CAR002,2024-09-02,2024-09-03,1,False,False
307,SO0000307,CHI,CAR005,2023-10-07,2023-10-15,8,False,False
308,SO0000308,DEN,CAR001,2023-12-11,2023-12-14,3,False,False
309,SO0000309,DAL,CAR001,2022-01-31,2022-02-04,4,False,False
310,SO0000310,MIA,CAR005,2024-08-19,2024-08-26,7,False,False
311,SO0000311,DEN,CAR001,2022-01-30,2022-02-04,5,False,False
312,SO0000312,DEN,CAR001,2025-04-27,2025-05-02,5,False,False
313,SO0000313,SEA,CAR004,2024-10-01,2024-10-10,9,False,True
314,SO0000314,SEA,CAR002,2023-04-04,2023-04-09,5,False,False
315,SO0000315,DAL,CAR001,2023-10-25,2023-10-29,4,False,True
316,SO0000316,ATL,CAR003,2023-11-27,2023-12-01,4,False,False
317,SO0000317,LAX,CAR001,2021-02-02,2021-02-03,1,False,False
318,SO0000318,DAL,CAR003,2023-10-28,2023-11-05,8,False,False
319,SO0000319,CHI,CAR003,2023-07-30,2023-07-31,1,False,False
320,SO0000320,DAL,CAR001,2024-01-09,2024-01-13,4,False,False
321,SO0000321,ATL,CAR004,2024-12-05,2024-12-06,1,False,False
322,SO0000322,ATL,CAR004,2023-09-08,2023-09-11,3,False,False
323,SO0000323,CHI,CAR005,2024-06-10,2024-06-18,8,False,False
324,SO0000324,MIA,CAR003,2023-06-22,2023-06-27,5,False,False
325,SO0000325,LAX,CAR003,2022-06-08,2022-06-16,8,False,False
326,SO0000326,LAX,CAR004,2023-03-06,2023-03-08,2,False,False
327,SO0000327,PHX,CAR004,2022-12-05,2022-12-13,8,False,False
328,SO0000328,MIA,CAR004,2023-01-04,2023-01-09,5,False,False
329,SO0000329,MIA,CAR003,2025-09-17,2025-09-18,1,False,False
330,SO0000330,PHX,CAR002,2024-05-10,2024-05-17,7,False,False
331,SO0000331,CHI,CAR004,2022-11-05,2022-11-10,5,False,False
332,SO0000332,CHI,CAR004,2022-08-05,2022-08-10,5,False,False
333,SO0000333,CHI,CAR003,2021-01-15,2021-01-21,6,False,False
334,SO0000334,CHI,CAR002,2022-09-07,2022-09-11,4,False,False
335,SO0000335,DAL,CAR003,2022-06-18,2022-06-19,1,False,False
336,SO0000336,CHI,CAR001,2023-09-11,2023-09-14,3,False,False
337,SO0000337,DAL,CAR004,2022-11-10,2022-11-16,6,False,False
338,SO0000338,SEA,CAR002,2022-04-24,2022-05-02,8,False,False
339,SO0000339,MIA,CAR005,2021-04-14,2021-04-18,4,False,False
340,SO0000340,CHI,CAR004,2022-07-09,2022-07-12,3,False,False
341,SO0000341,MIA,CAR004,2024-03-27,2024-04-03,7,False,True
342,SO0000342,ATL,CAR004,2024-08-26,2024-08-29,3,False,False
343,SO0000343,MIA,CAR001,2024-02-29,2024-03-03,3,False,False
344,SO0000344,LAX,CAR001,2024-02-23,2024-02-26,3,False,True
345,SO0000345,PHX,CAR002,2021-12-05,2021-12-07,2,False,False
346,SO0000346,PHX,CAR003,2021-06-03,2021-06-11,8,False,False
347,SO0000347,LAX,CAR003,2024-10-21,2024-10-26,5,False,False
348,SO0000348,MIA,CAR004,2022-01-16,2022-01-19,3,False,True
349,SO0000349,DAL,CAR005,2022-09-06,2022-09-14,8,False,False
350,SO0000350,ATL,CAR002,2024-03-07,2024-03-15,8,False,False
351,SO0000351,SEA,CAR002,2025-07-02,2025-07-08,6,False,False
352,SO0000352,PHX,CAR005,2021-04-21,2021-04-25,4,False,False
353,SO0000353,MIA,CAR003,2023-10-26,2023-10-29,3,False,False
354,SO0000354,MIA,CAR004,2025-12-22,2025-12-24,2,False,False
355,SO0000355,DAL,CAR003,2023-08-15,2023-08-16,1,False,False
356,SO0000356,DEN,CAR005,2024-08-29,2024-08-31,2,False,False
357,SO0000357,SEA,CAR002,2021-12-05,2021-12-06,1,False,False
358,SO0000358,DEN,CAR004,2021-04-18,2021-04-21,3,False,False
359,SO0000359,PHX,CAR001,2021-07-07,2021-07-09,2,False,False
360,SO0000360,CHI,CAR001,2023-10-23,2023-10-28,5,False,True
361,SO0000361,ATL,CAR003,2021-10-14,2021-10-18,4,False,False
362,SO0000362,DEN,CAR001,2021-12-19,2021-12-26,7,False,False
363,SO0000363,DEN,CAR005,2021-09-07,2021-09-13,6,False,False
364,SO0000364,LAX,CAR005,2021-04-04,2021-04-12,8,False,True
365,SO0000365,CHI,CAR005,2025-07-08,2025-07-09,1,False,False
366,SO0000366,MIA,CAR003,2022-04-24,2022-04-29,5,False,False
367,SO0000367,DAL,CAR002,2023-11-17,2023-11-19,2,False,False
368,SO0000368,SEA,CAR004,2021-03-01,2021-03-06,5,False,False
369,SO0000369,DAL,CAR005,2022-02-04,2022-02-08,4,False,False
370,SO0000370,CHI,CAR004,2021-01-09,2021-01-16,7,False,False
371,SO0000371,MIA,CAR002,2023-02-03,2023-02-07,4,False,False
372,SO0000372,ATL,CAR003,2022-02-12,2022-02-17,5,False,False
373,SO0000373,PHX,CAR004,2023-01-26,2023-01-30,4,False,False
374,SO0000374,DAL,CAR001,2021-04-02,2021-04-09,7,False,False
