WarehouseCode,ProductCode,QuantityOnHand,QuantityAllocated,ReorderPoint,ReorderQuantity
MIA,ELE-0007,189,8,93,500
PHX,ELE-0007,255,7,93,500
SEA,ELE-0007,440,16,93,500
ATL,HVA-0010,195,11,109,25
CHI,HVA-0010,490,20,109,25
DAL,HVA-0010,304,18,109,25
DEN,HVA-0010,194,7,109,25
LAX,HVA-0010,461,7,109,25
MIA,HVA-0010,233,4,109,25
PHX,HVA-0010,372,5,109,25
SEA,HVA-0010,494,4,109,25
ATL,HVA-0011,230,5,34,250
CHI,HVA-0011,161,19,34,250
DAL,HVA-0011,269,18,34,250
DEN,HVA-0011,402,4,34,250
LAX,HVA-0011,360,13,34,250
MIA,HVA-0011,244,14,34,250
PHX,HVA-0011,481,2,34,250
SEA,HVA-0011,191,0,34,250
ATL,FAS-0005,474,8,179,25
CHI,FAS-0005,410,5,179,25
DAL,FAS-0005,377,7,179,25
DEN,FAS-0005,472,4,179,25
LAX,FAS-0005,406,6,179,25
MIA,FAS-0005,124,11,179,25
PHX,FAS-0005,131,1,179,25
SEA,FAS-0005,476,20,179,25
ATL,FAS-0006,222,11,34,100
CHI,FAS-0006,421,11,34,100
DAL,FAS-0006,365,6,34,100
DEN,FAS-0006,188,3,34,100
LAX,FAS-0006,296,9,34,100
MIA,FAS-0006,193,3,34,100
PHX,FAS-0006,445,20,34,100
SEA,FAS-0006,340,18,34,100
ATL,ELE-0008,127,15,119,50
CHI,ELE-0008,121,19,119,50
DAL,ELE-0008,171,0,119,50
DEN,ELE-0008,174,16,119,50
LAX,ELE-0008,147,17,119,50
MIA,ELE-0008,396,15,119,50
PHX,ELE-0008,438,1,119,50
SEA,ELE-0008,223,7,119,50
ATL,SAF-0007,456,13,94,50
CHI,SAF-0007,241,14,94,50
DAL,SAF-0007,334,0,94,50
DEN,SAF-0007,225,6,94,50
LAX,SAF-0007,426,1,94,50
MIA,SAF-0007,494,15,94,50
PHX,SAF-0007,230,12,94,50
SEA,SAF-0007,382,8,94,50
ATL,HVA-0012,358,15,182,25
CHI,HVA-0012,498,12,182,25
DAL,HVA-0012,108,15,182,25
DEN,HVA-0012,220,3,182,25
LAX,HVA-0012,402,17,182,25
MIA,HVA-0012,217,10,182,25
PHX,HVA-0012,358,3,182,25
SEA,HVA-0012,288,15,182,25
ATL,HVA-0013,484,15,56,75
CHI,HVA-0013,458,16,56,75
DAL,HVA-0013,168,2,56,75
DEN,HVA-0013,328,17,56,75
LAX,HVA-0013,259,11,56,75
MIA,HVA-0013,353,14,56,75
PHX,HVA-0013,288,2,56,75
SEA,HVA-0013,409,12,56,75
ATL,SAF-0008,489,1,191,100
CHI,SAF-0008,112,8,191,100
DAL,SAF-0008,366,6,191,100
DEN,SAF-0008,281,8,191,100
LAX,SAF-0008,459,7,191,100
MIA,SAF-0008,459,15,191,100
PHX,SAF-0008,480,10,191,100
SEA,SAF-0008,319,14,191,100
ATL,ELE-0009,228,7,79,50
CHI,ELE-0009,422,18,79,50
DAL,ELE-0009,385,17,79,50
DEN,ELE-0009,327,6,79,50
LAX,ELE-0009,241,12,79,50
MIA,ELE-0009,170,2,79,50
PHX,ELE-0009,128,5,79,50
SEA,ELE-0009,118,14,79,50
ATL,PWR-0006,319,17,176,50
CHI,PWR-0006,392,15,176,50
DAL,PWR-0006,283,2,176,50
DEN,PWR-0006,382,6,176,50
LAX,PWR-0006,391,17,176,50
MIA,PWR-0006,208,19,176,50
PHX,PWR-0006,200,9,176,50
SEA,PWR-0006,138,0,176,50
ATL,PWR-0007,140,2,124,500
CHI,PWR-0007,442,11,124,500
DAL,PWR-0007,154,13,124,500
DEN,PWR-0007,119,9,124,500
LAX,PWR-0007,362,0,124,500
MIA,PWR-0007,382,4,124,500
PHX,PWR-0007,210,17,124,500
SEA,PWR-0007,397,17,124,500
ATL,HVA-0014,278,18,151,75
CHI,HVA-0014,351,19,151,75
DAL,HVA-0014,162,3,151,75
DEN,HVA-0014,482,18,151,75
LAX,HVA-0014,262,19,151,75
MIA,HVA-0014,104,15,151,75
PHX,HVA-0014,379,18,151,75
SEA,HVA-0014,228,4,151,75
ATL,FAS-0007,360,9,196,500
CHI,FAS-0007,371,17,196,500
DAL,FAS-0007,439,17,196,500
DEN,FAS-0007,158,15,196,500
LAX,FAS-0007,358,16,196,500
MIA,FAS-0007,294,0,196,500
PHX,FAS-0007,396,8,196,500
SEA,FAS-0007,335,12,196,500
ATL,HVA-0015,438,20,171,100
CHI,HVA-0015,489,12,171,100
DAL,HVA-0015,432,2,171,100
DEN,HVA-0015,216,14,171,100
LAX,HVA-0015,419,0,171,100
MIA,HVA-0015,418,9,171,100
PHX,HVA-0015,442,18,171,100
SEA,HVA-0015,490,19,171,100
ATL,SAF-0009,229,9,152,25
CHI,SAF-0009,260,19,152,25
DAL,SAF-0009,113,2,152,25
DEN,SAF-0009,471,12,152,25
LAX,SAF-0009,105,7,152,25
MIA,SAF-0009,213,3,152,25
PHX,SAF-0009,230,15,152,25
SEA,SAF-0009,447,12,152,25
ATL,HVA-0016,259,9,91,500
CHI,HVA-0016,307,18,91,500
DAL,HVA-0016,397,18,91,500
DEN,HVA-0016,117,17,91,500
LAX,HVA-0016,145,1,91,500
MIA,HVA-0016,184,9,91,500
PHX,HVA-0016,305,17,91,500
SEA,HVA-0016,229,10,91,500
ATL,PWR-0008,287,1,81,500
CHI,PWR-0008,160,1,81,500
DAL,PWR-0008,203,12,81,500
DEN,PWR-0008,251,19,81,500
LAX,PWR-0008,498,0,81,500
MIA,PWR-0008,233,4,81,500
PHX,PWR-0008,500,15,81,500
SEA,PWR-0008,198,19,81,500
ATL,SAF-0010,421,4,47,50
CHI,SAF-0010,214,6,47,50
DAL,SAF-0010,271,14,47,50
DEN,SAF-0010,319,8,47,50
LAX,SAF-0010,111,1,47,50
MIA,SAF-0010,442,15,47,50
PHX,SAF-0010,220,17,47,50
SEA,SAF-0010,416,16,47,50
ATL,HVA-0017,163,7,172,500
CHI,HVA-0017,171,14,172,500
DAL,HVA-0017,201,6,172,500
DEN,HVA-0017,439,7,172,500
LAX,HVA-0017,291,8,172,500
MIA,HVA-0017,473,16,172,500
PHX,HVA-0017,395,7,172,500
SEA,HVA-0017,399,4,172,500
ATL,SAF-0011,110,20,145,250
CHI,SAF-0011,115,16,145,250
DAL,SAF-0011,441,9,145,250
DEN,SAF-0011,347,0,145,250
LAX,SAF-0011,144,15,145,250
MIA,SAF-0011,207,8,145,250
PHX,SAF-0011,172,4,145,250
SEA,SAF-0011,430,12,145,250
ATL,ELE-0010,366,7,154,50
CHI,ELE-0010,480,2,154,50
DAL,ELE-0010,320,15,154,50
DEN,ELE-0010,105,20,154,50
LAX,ELE-0010,166,14,154,50
MIA,ELE-0010,404,12,154,50
PHX,ELE-0010,271,9,154,50
SEA,ELE-0010,344,20,154,50
ATL,SAF-0012,201,8,164,250
CHI,SAF-0012,284,20,164,250
DAL,SAF-0012,242,4,164,250
DEN,SAF-0012,213,14,164,250
LAX,SAF-0012,155,18,164,250
MIA,SAF-0012,496,4,164,250
PHX,SAF-0012,360,1,164,250
SEA,SAF-0012,130,19,164,250
ATL,ELE-0011,189,7,57,25
CHI,ELE-0011,174,13,57,25
DAL,ELE-0011,475,4,57,25
DEN,ELE-0011,236,5,57,25
LAX,ELE-0011,287,0,57,25
MIA,ELE-0011,300,6,57,25
PHX,ELE-0011,121,8,57,25
SEA,ELE-0011,457,20,57,25
ATL,FAS-0008,496,1,61,500
CHI,FAS-0008,133,3,61,500
DAL,FAS-0008,300,19,61,500
DEN,FAS-0008,452,17,61,500
LAX,FAS-0008,106,12,61,500
MIA,FAS-0008,355,18,61,500
PHX,FAS-0008,283,3,61,500
SEA,FAS-0008,355,10,61,500
ATL,ELE-0012,361,2,105,100
CHI,ELE-0012,485,6,105,100
DAL,ELE-0012,211,2,105,100
DEN,ELE-0012,445,6,105,100
LAX,ELE-0012,427,2,105,100
MIA,ELE-0012,341,8,105,100
PHX,ELE-0012,174,18,105,100
SEA,ELE-0012,406,18,105,100
ATL,HVA-0018,247,8,46,250
CHI,HVA-0018,372,13,46,250
DAL,HVA-0018,203,0,46,250
DEN,HVA-0018,447,7,46,250
LAX,HVA-0018,191,4,46,250
MIA,HVA-0018,373,9,46,250
PHX,HVA-0018,345,2,46,250
SEA,HVA-0018,327,20,46,250
ATL,HVA-0019,172,20,91,100
CHI,HVA-0019,302,16,91,100
DAL,HVA-0019,153,2,91,100
DEN,HVA-0019,116,4,91,100
LAX,HVA-0019,460,11,91,100
MIA,HVA-0019,432,18,91,100
PHX,HVA-0019,383,16,91,100
SEA,HVA-0019,116,12,91,100
ATL,SAF-0013,160,10,179,25
CHI,SAF-0013,441,15,179,25
DAL,SAF-0013,137,20,179,25
DEN,SAF-0013,171,10,179,25
LAX,SAF-0013,399,14,179,25
MIA,SAF-0013,352,5,179,25
PHX,SAF-0013,160,15,179,25
SEA,SAF-0013,361,8,179,25
ATL,ELE-0013,305,8,70,100
CHI,ELE-0013,355,13,70,100
DAL,ELE-0013,354,17,70,100
DEN,ELE-0013,315,11,70,100
LAX,ELE-0013,434,1,70,100
MIA,ELE-0013,290,19,70,100
PHX,ELE-0013,473,4,70,100
SEA,ELE-0013,366,12,70,100
ATL,FAS-0009,172,17,11,75
CHI,FAS-0009,349,11,11,75
DAL,FAS-0009,168,5,11,75
DEN,FAS-0009,269,5,11,75
LAX,FAS-0009,314,9,11,75
MIA,FAS-0009,132,15,11,75
PHX,FAS-0009,275,0,11,75
SEA,FAS-0009,349,14,11,75
ATL,HVA-0020,415,15,169,50
CHI,HVA-0020,242,11,169,50
DAL,HVA-0020,201,1,169,50
DEN,HVA-0020,356,20,169,50
LAX,HVA-0020,253,6,169,50
MIA,HVA-0020,332,2,169,50
PHX,HVA-0020,100,3,169,50
SEA,HVA-0020,397,13,169,50
ATL,FAS-0010,424,18,167,500
CHI,FAS-0010,197,1,167,500
DAL,FAS-0010,185,17,167,500
DEN,FAS-0010,217,16,167,500
LAX,FAS-0010,454,18,167,500
MIA,FAS-0010,477,17,167,500
PHX,FAS-0010,215,5,167,500
SEA,FAS-0010,442,19,167,500
ATL,ELE-0014,278,10,62,100
CHI,ELE-0014,188,0,62,100
DAL,ELE-0014,319,17,62,100
DEN,ELE-0014,156,7,62,100
LAX,ELE-0014,500,17,62,100
MIA,ELE-0014,266,20,62,100
PHX,ELE-0014,473,3,62,100
SEA,ELE-0014,400,6,62,100
ATL,PWR-0009,366,2,72,100
CHI,PWR-0009,443,19,72,100
DAL,PWR-0009,249,2,72,100
DEN,PWR-0009,361,20,72,100
LAX,PWR-0009,227,19,72,100
MIA,PWR-0009,250,20,72,100
PHX,PWR-0009,406,19,72,100
SEA,PWR-0009,424,16,72,100
ATL,ELE-0015,320,9,52,500
CHI,ELE-0015,224,1,52,500
DAL,ELE-0015,159,13,52,500
DEN,ELE-0015,396,3,52,500
LAX,ELE-0015,368,5,52,500
MIA,ELE-0015,413,15,52,500
PHX,ELE-0015,414,3,52,500
SEA,ELE-0015,464,3,52,500
ATL,PWR-0010,185,14,69,75
CHI,PWR-0010,327,14,69,75
DAL,PWR-0010,285,1,69,75
DEN,PWR-0010,378,7,69,75
LAX,PWR-0010,495,14,69,75
MIA,PWR-0010,466,13,69,75
PHX,PWR-0010,310,3,69,75
SEA,PWR-0010,317,13,69,75
ATL,ELE-0016,374,4,120,250
CHI,ELE-0016,413,16,120,250
DAL,ELE-0016,424,10,120,250
DEN,ELE-0016,420,2,120,250
LAX,ELE-0016,237,13,120,250
MIA,ELE-0016,425,10,120,250
PHX,ELE-0016,203,10,120,250
SEA,ELE-0016,470,12,120,250
ATL,ELE-0017,423,20,96,250
CHI,ELE-0017,407,18,96,250
DAL,ELE-0017,316,12,96,250
DEN,ELE-0017,359,4,96,250
LAX,ELE-0017,337,19,96,250
MIA,ELE-0017,231,16,96,250
PHX,ELE-0017,241,14,96,250
SEA,ELE-0017,344,12,96,250
ATL,FAS-0011,337,5,26,500
CHI,FAS-0011,494,17,26,500
DAL,FAS-0011,214,8,26,500
DEN,FAS-0011,139,0,26,500
LAX,FAS-0011,413,20,26,500
MIA,FAS-0011,229,0,26,500
PHX,FAS-0011,273,1,26,500
SEA,FAS-0011,142,16,26,500
ATL,HVA-0021,308,5,178,50
CHI,HVA-0021,341,5,178,50
DAL,HVA-0021,172,16,178,50
DEN,HVA-0021,285,0,178,50
LAX,HVA-0021,216,9,178,50
MIA,HVA-0021,296,11,178,50
PHX,HVA-0021,252,19,178,50
SEA,HVA-0021,413,6,178,50
ATL,ELE-0018,163,20,35,100
CHI,ELE-0018,339,14,35,100
DAL,ELE-0018,226,2,35,100
DEN,ELE-0018,147,10,35,100
LAX,ELE-0018,433,17,35,100
MIA,ELE-0018,346,2,35,100
PHX,ELE-0018,152,5,35,100
SEA,ELE-0018,441,12,35,100
ATL,HVA-0022,266,4,129,25
CHI,HVA-0022,471,17,129,25
DAL,HVA-0022,390,11,129,25
DEN,HVA-0022,407,5,129,25
LAX,HVA-0022,464,19,129,25
MIA,HVA-0022,118,17,129,25
PHX,HVA-0022,172,12,129,25
SEA,HVA-0022,204,11,129,25
ATL,ELE-0019,361,16,151,25
CHI,ELE-0019,243,11,151,25
DAL,ELE-0019,200,11,151,25
DEN,ELE-0019,304,1,151,25
LAX,ELE-0019,445,1,151,25
MIA,ELE-0019,406,8,151,25
PHX,ELE-0019,113,2,151,25
SEA,ELE-0019,171,19,151,25
ATL,PWR-0011,299,11,93,100
CHI,PWR-0011,277,14,93,100
DAL,PWR-0011,128,9,93,100
DEN,PWR-0011,193,19,93,100
LAX,PWR-0011,390,8,93,100
MIA,PWR-0011,359,18,93,100
PHX,PWR-0011,223,15,93,100
SEA,PWR-0011,352,16,93,100
ATL,FAS-0012,124,10,136,100
CHI,FAS-0012,339,14,136,100
DAL,FAS-0012,264,14,136,100
DEN,FAS-0012,269,14,136,100
LAX,FAS-0012,370,13,136,100
MIA,FAS-0012,353,1,136,100
PHX,FAS-0012,350,0,136,100
SEA,FAS-0012,288,14,136,100
ATL,HVA-0023,129,17,39,500
CHI,HVA-0023,423,1,39,500
DAL,HVA-0023,122,15,39,500
DEN,HVA-0023,473,15,39,500
LAX,HVA-0023,249,20,39,500
MIA,HVA-0023,400,3,39,500
PHX,HVA-0023,412,17,39,500
SEA,HVA-0023,164,18,39,500
ATL,FAS-0013,248,20,120,500
CHI,FAS-0013,438,14,120,500
DAL,FAS-0013,141,14,120,500
DEN,FAS-0013,488,16,120,500
LAX,FAS-0013,348,9,120,500
MIA,FAS-0013,250,13,120,500
PHX,FAS-0013,139,14,120,500
SEA,FAS-0013,118,12,120,500
ATL,ELE-0020,445,6,76,100
CHI,ELE-0020,128,7,76,100
DAL,ELE-0020,350,7,76,100
DEN,ELE-0020,187,6,76,100
LAX,ELE-0020,447,10,76,100
MIA,ELE-0020,192,16,76,100
PHX,ELE-0020,424,4,76,100
SEA,ELE-0020,420,5,76,100
ATL,PWR-0012,163,9,49,100
CHI,PWR-0012,226,1,49,100
DAL,PWR-0012,405,13,49,100
DEN,PWR-0012,269,17,49,100
LAX,PWR-0012,129,15,49,100
MIA,PWR-0012,451,15,49,100
PHX,PWR-0012,291,1,49,100
SEA,PWR-0012,364,9,49,100
ATL,ELE-0021,429,18,104,50
CHI,ELE-0021,237,10,104,50
DAL,ELE-0021,364,9,104,50
DEN,ELE-0021,308,2,104,50
LAX,ELE-0021,434,2,104,50
MIA,ELE-0021,443,6,104,50
PHX,ELE-0021,221,18,104,50
SEA,ELE-0021,193,13,104,50
ATL,SAF-0014,143,20,162,500
CHI,SAF-0014,385,6,162,500
DAL,SAF-0014,271,14,162,500
DEN,SAF-0014,316,8,162,500
LAX,SAF-0014,370,5,162,500
MIA,SAF-0014,101,15,162,500
PHX,SAF-0014,106,7,162,500
SEA,SAF-0014,413,13,162,500
ATL,HVA-0024,133,11,189,75
CHI,HVA-0024,175,7,189,75
DAL,HVA-0024,397,10,189,75
DEN,HVA-0024,255,4,189,75
LAX,HVA-0024,472,6,189,75
MIA,HVA-0024,174,20,189,75
PHX,HVA-0024,302,5,189,75
SEA,HVA-0024,463,8,189,75
ATL,HVA-0025,297,8,112,25
CHI,HVA-0025,458,8,112,25
DAL,HVA-0025,359,12,112,25
DEN,HVA-0025,223,14,112,25
LAX,HVA-0025,198,14,112,25
MIA,HVA-0025,193,16,112,25
PHX,HVA-0025,376,16,112,25
SEA,HVA-0025,270,7,112,25
ATL,FAS-0014,306,5,164,500
CHI,FAS-0014,106,11,164,500
DAL,FAS-0014,220,17,164,500
DEN,FAS-0014,457,20,164,500
LAX,FAS-0014,266,13,164,500
MIA,FAS-0014,132,15,164,500
PHX,FAS-0014,227,9,164,500
SEA,FAS-0014,255,20,164,500
ATL,FAS-0015,298,3,180,25
CHI,FAS-0015,102,17,180,25
DAL,FAS-0015,353,4,180,25
DEN,FAS-0015,407,17,180,25
LAX,FAS-0015,358,18,180,25
MIA,FAS-0015,161,0,180,25
PHX,FAS-0015,384,16,180,25
SEA,FAS-0015,384,18,180,25
ATL,ELE-0022,395,9,97,100
CHI,ELE-0022,129,8,97,100
DAL,ELE-0022,186,18,97,100
DEN,ELE-0022,272,6,97,100
LAX,ELE-0022,187,14,97,100
MIA,ELE-0022,264,15,97,100
PHX,ELE-0022,199,4,97,100
SEA,ELE-0022,453,5,97,100
ATL,PWR-0013,340,17,143,25
CHI,PWR-0013,475,10,143,25
DAL,PWR-0013,385,1,143,25
DEN,PWR-0013,266,14,143,25
LAX,PWR-0013,161,16,143,25
MIA,PWR-0013,133,19,143,25
PHX,PWR-0013,144,18,143,25
SEA,PWR-0013,370,1,143,25
ATL,SAF-0015,208,4,178,75
CHI,SAF-0015,374,11,178,75
DAL,SAF-0015,183,6,178,75
DEN,SAF-0015,184,11,178,75
LAX,SAF-0015,422,0,178,75
MIA,SAF-0015,128,9,178,75
PHX,SAF-0015,234,7,178,75
SEA,SAF-0015,124,1,178,75
ATL,FAS-0016,441,6,184,100
CHI,FAS-0016,457,12,184,100
DAL,FAS-0016,306,2,184,100
DEN,FAS-0016,494,20,184,100
LAX,FAS-0016,101,0,184,100
MIA,FAS-0016,451,2,184,100
PHX,FAS-0016,329,12,184,100
SEA,FAS-0016,266,4,184,100
ATL,SAF-0016,277,3,83,25
CHI,SAF-0016,217,14,83,25
DAL,SAF-0016,491,17,83,25
