CalendarDate,DateKey,Year,Quarter,Month,MonthName,Week,Day,DayName,Weekend
2021-02-04,20210204,2021,1,2,February,5,4,Thursday,False
2021-02-05,20210205,2021,1,2,February,5,5,Friday,False
2021-02-06,20210206,2021,1,2,February,5,6,Saturday,True
2021-02-07,20210207,2021,1,2,February,5,7,Sunday,True
2021-02-08,20210208,2021,1,2,February,6,8,Monday,False
2021-02-09,20210209,2021,1,2,February,6,9,Tuesday,False
2021-02-10,20210210,2021,1,2,February,6,10,Wednesday,False
2021-02-11,20210211,2021,1,2,February,6,11,Thursday,False
2021-02-12,20210212,2021,1,2,February,6,12,Friday,False
2021-02-13,20210213,2021,1,2,February,6,13,Saturday,True
2021-02-14,20210214,2021,1,2,February,6,14,Sunday,True
2021-02-15,20210215,2021,1,2,February,7,15,Monday,False
2021-02-16,20210216,2021,1,2,February,7,16,Tuesday,False
2021-02-17,20210217,2021,1,2,February,7,17,Wednesday,False
2021-02-18,20210218,2021,1,2,February,7,18,Thursday,False
2021-02-19,20210219,2021,1,2,February,7,19,Friday,False
2021-02-20,20210220,2021,1,2,February,7,20,Saturday,True
2021-02-21,20210221,2021,1,2,February,7,21,Sunday,True
2021-02-22,20210222,2021,1,2,February,8,22,Monday,False
2021-02-23,20210223,2021,1,2,February,8,23,Tuesday,False
2021-02-24,20210224,2021,1,2,February,8,24,Wednesday,False
2021-02-25,20210225,2021,1,2,February,8,25,Thursday,False
2021-02-26,20210226,2021,1,2,February,8,26,Friday,False
2021-02-27,20210227,2021,1,2,February,8,27,Saturday,True
2021-02-28,20210228,2021,1,2,February,8,28,Sunday,True
2021-03-01,20210301,2021,1,3,March,9,1,Monday,False
2021-03-02,20210302,2021,1,3,March,9,2,Tuesday,False
2021-03-03,20210303,2021,1,3,March,9,3,Wednesday,False
2021-03-04,20210304,2021,1,3,March,9,4,Thursday,False
2021-03-05,20210305,2021,1,3,March,9,5,Friday,False
2021-03-06,20210306,2021,1,3,March,9,6,Saturday,True
2021-03-07,20210307,2021,1,3,March,9,7,Sunday,True
2021-03-08,20210308,2021,1,3,March,10,8,Monday,False
2021-03-09,20210309,2021,1,3,March,10,9,Tuesday,False
2021-03-10,20210310,2021,1,3,March,10,10,Wednesday,False
2021-03-11,20210311,2021,1,3,March,10,11,Thursday,False
2021-03-12,20210312,2021,1,3,March,10,12,Friday,False
2021-03-13,20210313,2021,1,3,March,10,13,Saturday,True
2021-03-14,20210314,2021,1,3,March,10,14,Sunday,True
2021-03-15,20210315,2021,1,3,March,11,15,Monday,False
2021-03-16,20210316,2021,1,3,March,11,16,Tuesday,False
2021-03-17,20210317,2021,1,3,March,11,17,Wednesday,False
2021-03-18,20210318,2021,1,3,March,11,18,Thursday,False
2021-03-19,20210319,2021,1,3,March,11,19,Friday,False
2021-03-20,20210320,2021,1,3,March,11,20,Saturday,True
2021-03-21,20210321,2021,1,3,March,11,21,Sunday,True
2021-03-22,20210322,2021,1,3,March,12,22,Monday,False
2021-03-23,20210323,2021,1,3,March,12,23,Tuesday,False
2021-03-24,20210324,2021,1,3,March,12,24,Wednesday,False
2021-03-25,20210325,2021,1,3,March,12,25,Thursday,False
2021-03-26,20210326,2021,1,3,March,12,26,Friday,False
2021-03-27,20210327,2021,1,3,March,12,27,Saturday,True
2021-03-28,20210328,2021,1,3,March,12,28,Sunday,True
2021-03-29,20210329,2021,1,3,March,13,29,Monday,False
2021-03-30,20210330,2021,1,3,March,13,30,Tuesday,False
2021-03-31,20210331,2021,1,3,March,13,31,Wednesday,False
2021-04-01,20210401,2021,2,4,April,13,1,Thursday,False
2021-04-02,20210402,2021,2,4,April,13,2,Friday,False
2021-04-03,20210403,2021,2,4,April,13,3,Saturday,True
2021-04-04,20210404,2021,2,4,April,13,4,Sunday,True
2021-04-05,20210405,2021,2,4,April,14,5,Monday,False
2021-04-06,20210406,2021,2,4,April,14,6,Tuesday,False
2021-04-07,20210407,2021,2,4,April,14,7,Wednesday,False
2021-04-08,20210408,2021,2,4,April,14,8,Thursday,False
2021-04-09,20210409,2021,2,4,April,14,9,Friday,False
2021-04-10,20210410,2021,2,4,April,14,10,Saturday,True
2021-04-11,20210411,2021,2,4,April,14,11,Sunday,True
2021-04-12,20210412,2021,2,4,April,15,12,Monday,False
2021-04-13,20210413,2021,2,4,April,15,13,Tuesday,False
2021-04-14,20210414,2021,2,4,April,15,14,Wednesday,False
2021-04-15,20210415,2021,2,4,April,15,15,Thursday,False
2021-04-16,20210416,2021,2,4,April,15,16,Friday,False
2021-04-17,20210417,2021,2,4,April,15,17,Saturday,True
2021-04-18,20210418,2021,2,4,April,15,18,Sunday,True
2021-04-19,20210419,2021,2,4,April,16,19,Monday,False
2021-04-20,20210420,2021,2,4,April,16,20,Tuesday,False
2021-04-21,20210421,2021,2,4,April,16,21,Wednesday,False
2021-04-22,20210422,2021,2,4,April,16,22,Thursday,False
2021-04-23,20210423,2021,2,4,April,16,23,Friday,False
2021-04-24,20210424,2021,2,4,April,16,24,Saturday,True
2021-04-25,20210425,2021,2,4,April,16,25,Sunday,True
2021-04-26,20210426,2021,2,4,April,17,26,Monday,False
2021-04-27,20210427,2021,2,4,April,17,27,Tuesday,False
2021-04-28,20210428,2021,2,4,April,17,28,Wednesday,False
2021-04-29,20210429,2021,2,4,April,17,29,Thursday,False
2021-04-30,20210430,2021,2,4,April,17,30,Friday,False
2021-05-01,20210501,2021,2,5,May,17,1,Saturday,True
2021-05-02,20210502,2021,2,5,May,17,2,Sunday,True
2021-05-03,20210503,2021,2,5,May,18,3,Monday,False
2021-05-04,20210504,2021,2,5,May,18,4,Tuesday,False
2021-05-05,20210505,2021,2,5,May,18,5,Wednesday,False
2021-05-06,20210506,2021,2,5,May,18,6,Thursday,False
2021-05-07,20210507,2021,2,5,May,18,7,Friday,False
2021-05-08,20210508,2021,2,5,May,18,8,Saturday,True
2021-05-09,20210509,2021,2,5,May,18,9,Sunday,True
2021-05-10,20210510,2021,2,5,May,19,10,Monday,False
2021-05-11,20210511,2021,2,5,May,19,11,Tuesday,False
2021-05-12,20210512,2021,2,5,May,19,12,Wednesday,False
2021-05-13,20210513,2021,2,5,May,19,13,Thursday,False
2021-05-14,20210514,2021,2,5,May,19,14,Friday,False
2021-05-15,20210515,2021,2,5,May,19,15,Saturday,True
2021-05-16,20210516,2021,2,5,May,19,16,Sunday,True
2021-05-17,20210517,2021,2,5,May,20,17,Monday,False
2021-05-18,20210518,2021,2,5,May,20,18,Tuesday,False
2021-05-19,20210519,2021,2,5,May,20,19,Wednesday,False
2021-05-20,20210520,2021,2,5,May,20,20,Thursday,False
2021-05-21,20210521,2021,2,5,May,20,21,Friday,False
2021-05-22,20210522,2021,2,5,May,20,22,Saturday,True
2021-05-23,20210523,2021,2,5,May,20,23,Sunday,True
2021-05-24,20210524,2021,2,5,May,21,24,Monday,False
2021-05-25,20210525,2021,2,5,May,21,25,Tuesday,False
2021-05-26,20210526,2021,2,5,May,21,26,Wednesday,False
2021-05-27,20210527,2021,2,5,May,21,27,Thursday,False
2021-05-28,20210528,2021,2,5,May,21,28,Friday,False
2021-05-29,20210529,2021,2,5,May,21,29,Saturday,True
2021-05-30,20210530,2021,2,5,May,21,30,Sunday,True
2021-05-31,20210531,2021,2,5,May,22,31,Monday,False
2021-06-01,20210601,2021,2,6,June,22,1,Tuesday,False
2021-06-02,20210602,2021,2,6,June,22,2,Wednesday,False
2021-06-03,20210603,2021,2,6,June,22,3,Thursday,False
2021-06-04,20210604,2021,2,6,June,22,4,Friday,False
2021-06-05,20210605,2021,2,6,June,22,5,Saturday,True
2021-06-06,20210606,2021,2,6,June,22,6,Sunday,True
2021-06-07,20210607,2021,2,6,June,23,7,Monday,False
2021-06-08,20210608,2021,2,6,June,23,8,Tuesday,False
2021-06-09,20210609,2021,2,6,June,23,9,Wednesday,False
2021-06-10,20210610,2021,2,6,June,23,10,Thursday,False
2021-06-11,20210611,2021,2,6,June,23,11,Friday,False
2021-06-12,20210612,2021,2,6,June,23,12,Saturday,True
2021-06-13,20210613,2021,2,6,June,23,13,Sunday,True
2021-06-14,20210614,2021,2,6,June,24,14,Monday,False
2021-06-15,20210615,2021,2,6,June,24,15,Tuesday,False
2021-06-16,20210616,2021,2,6,June,24,16,Wednesday,False
2021-06-17,20210617,2021,2,6,June,24,17,Thursday,False
2021-06-18,20210618,2021,2,6,June,24,18,Friday,False
2021-06-19,20210619,2021,2,6,June,24,19,Saturday,True
2021-06-20,20210620,2021,2,6,June,24,20,Sunday,True
2021-06-21,20210621,2021,2,6,June,25,21,Monday,False
2021-06-22,20210622,2021,2,6,June,25,22,Tuesday,False
2021-06-23,20210623,2021,2,6,June,25,23,Wednesday,False
2021-06-24,20210624,2021,2,6,June,25,24,Thursday,False
2021-06-25,20210625,2021,2,6,June,25,25,Friday,False
2021-06-26,20210626,2021,2,6,June,25,26,Saturday,True
2021-06-27,20210627,2021,2,6,June,25,27,Sunday,True
2021-06-28,20210628,2021,2,6,June,26,28,Monday,False
2021-06-29,20210629,2021,2,6,June,26,29,Tuesday,False
2021-06-30,20210630,2021,2,6,June,26,30,Wednesday,False
2021-07-01,20210701,2021,3,7,July,26,1,Thursday,False
2021-07-02,20210702,2021,3,7,July,26,2,Friday,False
2021-07-03,20210703,2021,3,7,July,26,3,Saturday,True
2021-07-04,20210704,2021,3,7,July,26,4,Sunday,True
2021-07-05,20210705,2021,3,7,July,27,5,Monday,False
2021-07-06,20210706,2021,3,7,July,27,6,Tuesday,False
2021-07-07,20210707,2021,3,7,July,27,7,Wednesday,False
2021-07-08,20210708,2021,3,7,July,27,8,Thursday,False
2021-07-09,20210709,2021,3,7,July,27,9,Friday,False
2021-07-10,20210710,2021,3,7,July,27,10,Saturday,True
2021-07-11,20210711,2021,3,7,July,27,11,Sunday,True
2021-07-12,20210712,2021,3,7,July,28,12,Monday,False
2021-07-13,20210713,2021,3,7,July,28,13,Tuesday,False
2021-07-14,20210714,2021,3,7,July,28,14,Wednesday,False
2021-07-15,20210715,2021,3,7,July,28,15,Thursday,False
2021-07-16,20210716,2021,3,7,July,28,16,Friday,False
2021-07-17,20210717,2021,3,7,July,28,17,Saturday,True
2021-07-18,20210718,2021,3,7,July,28,18,Sunday,True
2021-07-19,20210719,2021,3,7,July,29,19,Monday,False
2021-07-20,20210720,2021,3,7,July,29,20,Tuesday,False
2021-07-21,20210721,2021,3,7,July,29,21,Wednesday,False
2021-07-22,20210722,2021,3,7,July,29,22,Thursday,False
2021-07-23,20210723,2021,3,7,July,29,23,Friday,False
2021-07-24,20210724,2021,3,7,July,29,24,Saturday,True
2021-07-25,20210725,2021,3,7,July,29,25,Sunday,True
2021-07-26,20210726,2021,3,7,July,30,26,Monday,False
2021-07-27,20210727,2021,3,7,July,30,27,Tuesday,False
2021-07-28,20210728,2021,3,7,July,30,28,Wednesday,False
2021-07-29,20210729,2021,3,7,July,30,29,Thursday,False
2021-07-30,20210730,2021,3,7,July,30,30,Friday,False
2021-07-31,20210731,2021,3,7,July,30,31,Saturday,True
2021-08-01,20210801,2021,3,8,August,30,1,Sunday,True
2021-08-02,20210802,2021,3,8,August,31,2,Monday,False
2021-08-03,20210803,2021,3,8,August,31,3,Tuesday,False
2021-08-04,20210804,2021,3,8,August,31,4,Wednesday,False
2021-08-05,20210805,2021,3,8,August,31,5,Thursday,False
2021-08-06,20210806,2021,3,8,August,31,6,Friday,False
2021-08-07,20210807,2021,3,8,August,31,7,Saturday,True
2021-08-08,20210808,2021,3,8,August,31,8,Sunday,True
2021-08-09,20210809,2021,3,8,August,32,9,Monday,False
2021-08-10,20210810,2021,3,8,August,32,10,Tuesday,False
2021-08-11,20210811,2021,3,8,August,32,11,Wednesday,False
2021-08-12,20210812,2021,3,8,August,32,12,Thursday,False
2021-08-13,20210813,2021,3,8,August,32,13,Friday,False
2021-08-14,20210814,2021,3,8,August,32,14,Saturday,True
2021-08-15,20210815,2021,3,8,August,32,15,Sunday,True
2021-08-16,20210816,2021,3,8,August,33,16,Monday,False
2021-08-17,20210817,2021,3,8,August,33,17,Tuesday,False
2021-08-18,20210818,2021,3,8,August,33,18,Wednesday,False
2021-08-19,20210819,2021,3,8,August,33,19,Thursday,False
2021-08-20,20210820,2021,3,8,August,33,20,Friday,False
2021-08-21,20210821,2021,3,8,August,33,21,Saturday,True
2021-08-22,20210822,2021,3,8,August,33,22,Sunday,True
2021-08-23,20210823,2021,3,8,August,34,23,Monday,False
2021-08-24,20210824,2021,3,8,August,34,24,Tuesday,False
2021-08-25,20210825,2021,3,8,August,34,25,Wednesday,False
2021-08-26,20210826,2021,3,8,August,34,26,Thursday,False
2021-08-27,20210827,2021,3,8,August,34,27,Friday,False
2021-08-28,20210828,2021,3,8,August,34,28,Saturday,True
2021-08-29,20210829,2021,3,8,August,34,29,Sunday,True
2021-08-30,20210830,2021,3,8,August,35,30,Monday,False
2021-08-31,20210831,2021,3,8,August,35,31,Tuesday,False
2021-09-01,20210901,2021,3,9,September,35,1,Wednesday,False
2021-09-02,20210902,2021,3,9,September,35,2,Thursday,False
2021-09-03,20210903,2021,3,9,September,35,3,Friday,False
2021-09-04,20210904,2021,3,9,September,35,4,Saturday,True
2021-09-05,20210905,2021,3,9,September,35,5,Sunday,True
2021-09-06,20210906,2021,3,9,September,36,6,Monday,False
2021-09-07,20210907,2021,3,9,September,36,7,Tuesday,False
2021-09-08,20210908,2021,3,9,September,36,8,Wednesday,False
2021-09-09,20210909,2021,3,9,September,36,9,Thursday,False
2021-09-10,20210910,2021,3,9,September,36,10,Friday,False
2021-09-11,20210911,2021,3,9,September,36,11,Saturday,True
2021-09-12,20210912,2021,3,9,September,36,12,Sunday,True
2021-09-13,20210913,2021,3,9,September,37,13,Monday,False
2021-09-14,20210914,2021,3,9,September,37,14,Tuesday,False
2021-09-15,20210915,2021,3,9,September,37,15,Wednesday,False
2021-09-16,20210916,2021,3,9,September,37,16,Thursday,False
2021-09-17,20210917,2021,3,9,September,37,17,Friday,False
2021-09-18,20210918,2021,3,9,September,37,18,Saturday,True
2021-09-19,20210919,2021,3,9,September,37,19,Sunday,True
2021-09-20,20210920,2021,3,9,September,38,20,Monday,False
2021-09-21,20210921,2021,3,9,September,38,21,Tuesday,False
2021-09-22,20210922,2021,3,9,September,38,22,Wednesday,False
2021-09-23,20210923,2021,3,9,September,38,23,Thursday,False
2021-09-24,20210924,2021,3,9,September,38,24,Friday,False
2021-09-25,20210925,2021,3,9,September,38,25,Saturday,True
2021-09-26,20210926,2021,3,9,September,38,26,Sunday,True
2021-09-27,20210927,2021,3,9,September,39,27,Monday,False
2021-09-28,20210928,2021,3,9,September,39,28,Tuesday,False
2021-09-29,20210929,2021,3,9,September,39,29,Wednesday,False
2021-09-30,20210930,2021,3,9,September,39,30,Thursday,False
2021-10-01,20211001,2021,4,10,October,39,1,Friday,False
2021-10-02,20211002,2021,4,10,October,39,2,Saturday,True
2021-10-03,20211003,2021,4,10,October,39,3,Sunday,True
2021-10-04,20211004,2021,4,10,October,40,4,Monday,False
2021-10-05,20211005,2021,4,10,October,40,5,Tuesday,False
2021-10-06,20211006,2021,4,10,October,40,6,Wednesday,False
2021-10-07,20211007,2021,4,10,October,40,7,Thursday,False
2021-10-08,20211008,2021,4,10,October,40,8,Friday,False
2021-10-09,20211009,2021,4,10,October,40,9,Saturday,True
2021-10-10,20211010,2021,4,10,October,40,10,Sunday,True
2021-10-11,20211011,2021,4,10,October,41,11,Monday,False
2021-10-12,20211012,2021,4,10,October,41,12,Tuesday,False
2021-10-13,20211013,2021,4,10,October,41,13,Wednesday,False
2021-10-14,20211014,2021,4,10,October,41,14,Thursday,False
2021-10-15,20211015,2021,4,10,October,41,15,Friday,False
2021-10-16,20211016,2021,4,10,October,41,16,Saturday,True
2021-10-17,20211017,2021,4,10,October,41,17,Sunday,True
2021-10-18,20211018,2021,4,10,October,42,18,Monday,False
2021-10-19,20211019,2021,4,10,October,42,19,Tuesday,False
2021-10-20,20211020,2021,4,10,October,42,20,Wednesday,False
2021-10-21,20211021,2021,4,10,October,42,21,Thursday,False
2021-10-22,20211022,2021,4,10,October,42,22,Friday,False
2021-10-23,20211023,2021,4,10,October,42,23,Saturday,True
2021-10-24,20211024,2021,4,10,October,42,24,Sunday,True
2021-10-25,20211025,2021,4,10,October,43,25,Monday,False
2021-10-26,20211026,2021,4,10,October,43,26,Tuesday,False
2021-10-27,20211027,2021,4,10,October,43,27,Wednesday,False
2021-10-28,20211028,2021,4,10,October,43,28,Thursday,False
2021-10-29,20211029,2021,4,10,October,43,29,Friday,False
2021-10-30,20211030,2021,4,10,October,43,30,Saturday,True
2021-10-31,20211031,2021,4,10,October,43,31,Sunday,True
2021-11-01,20211101,2021,4,11,November,44,1,Monday,False
2021-11-02,20211102,2021,4,11,November,44,2,Tuesday,False
2021-11-03,20211103,2021,4,11,November,44,3,Wednesday,False
2021-11-04,20211104,2021,4,11,November,44,4,Thursday,False
2021-11-05,20211105,2021,4,11,November,44,5,Friday,False
2021-11-06,20211106,2021,4,11,November,44,6,Saturday,True
2021-11-07,20211107,2021,4,11,November,44,7,Sunday,True
2021-11-08,20211108,2021,4,11,November,45,8,Monday,False
2021-11-09,20211109,2021,4,11,November,45,9,Tuesday,False
2021-11-10,20211110,2021,4,11,November,45,10,Wednesday,False
2021-11-11,20211111,2021,4,11,November,45,11,Thursday,False
2021-11-12,20211112,2021,4,11,November,45,12,Friday,False
2021-11-13,20211113,2021,4,11,November,45,13,Saturday,True
2021-11-14,20211114,2021,4,11,November,45,14,Sunday,True
2021-11-15,20211115,2021,4,11,November,46,15,Monday,False
2021-11-16,20211116,2021,4,11,November,46,16,Tuesday,False
2021-11-17,20211117,2021,4,11,November,46,17,Wednesday,False
2021-11-18,20211118,2021,4,11,November,46,18,Thursday,False
2021-11-19,20211119,2021,4,11,November,46,19,Friday,False
2021-11-20,20211120,2021,4,11,November,46,20,Saturday,True
2021-11-21,20211121,2021,4,11,November,46,21,Sunday,True
2021-11-22,20211122,2021,4,11,November,47,22,Monday,False
2021-11-23,20211123,2021,4,11,November,47,23,Tuesday,False
2021-11-24,20211124,2021,4,11,November,47,24,Wednesday,False
2021-11-25,20211125,2021,4,11,November,47,25,Thursday,False
2021-11-26,20211126,2021,4,11,November,47,26,Friday,False
2021-11-27,20211127,2021,4,11,November,47,27,Saturday,True
2021-11-28,20211128,2021,4,11,November,47,28,Sunday,True
2021-11-29,20211129,2021,4,11,November,48,29,Monday,False
2021-11-30,20211130,2021,4,11,November,48,30,Tuesday,False
2021-12-01,20211201,2021,4,12,December,48,1,Wednesday,False
2021-12-02,20211202,2021,4,12,December,48,2,Thursday,False
2021-12-03,20211203,2021,4,12,December,48,3,Friday,False
2021-12-04,20211204,2021,4,12,December,48,4,Saturday,True
2021-12-05,20211205,2021,4,12,December,48,5,Sunday,True
2021-12-06,20211206,2021,4,12,December,49,6,Monday,False
2021-12-07,20211207,2021,4,12,December,49,7,Tuesday,False
2021-12-08,20211208,2021,4,12,December,49,8,Wednesday,False
2021-12-09,20211209,2021,4,12,December,49,9,Thursday,False
2021-12-10,20211210,2021,4,12,December,49,10,Friday,False
2021-12-11,20211211,2021,4,12,December,49,11,Saturday,True
2021-12-12,20211212,2021,4,12,December,49,12,Sunday,True
2021-12-13,20211213,2021,4,12,December,50,13,Monday,False
2021-12-14,20211214,2021,4,12,December,50,14,Tuesday,False
2021-12-15,20211215,2021,4,12,December,50,15,Wednesday,False
2021-12-16,20211216,2021,4,12,December,50,16,Thursday,False
2021-12-17,20211217,2021,4,12,December,50,17,Friday,False
2021-12-18,20211218,2021,4,12,December,50,18,Saturday,True
2021-12-19,20211219,2021,4,12,December,50,19,Sunday,True
2021-12-20,20211220,2021,4,12,December,51,20,Monday,False
2021-12-21,20211221,2021,4,12,December,51,21,Tuesday,False
2021-12-22,20211222,2021,4,12,December,51,22,Wednesday,False
2021-12-23,20211223,2021,4,12,December,51,23,Thursday,False
2021-12-24,20211224,2021,4,12,December,51,24,Friday,False
2021-12-25,20211225,2021,4,12,December,51,25,Saturday,True
2021-12-26,20211226,2021,4,12,December,51,26,Sunday,True
2021-12-27,20211227,2021,4,12,December,52,27,Monday,False
2021-12-28,20211228,2021,4,12,December,52,28,Tuesday,False
2021-12-29,20211229,2021,4,12,December,52,29,Wednesday,False
2021-12-30,20211230,2021,4,12,December,52,30,Thursday,False
2021-12-31,20211231,2021,4,12,December,52,31,Friday,False
2022-01-01,20220101,2022,1,1,January,52,1,Saturday,True
2022-01-02,20220102,2022,1,1,January,52,2,Sunday,True
2022-01-03,20220103,2022,1,1,January,1,3,Monday,False
2022-01-04,20220104,2022,1,1,January,1,4,Tuesday,False
2022-01-05,20220105,2022,1,1,January,1,5,Wednesday,False
2022-01-06,20220106,2022,1,1,January,1,6,Thursday,False
2022-01-07,20220107,2022,1,1,January,1,7,Friday,False
2022-01-08,20220108,2022,1,1,January,1,8,Saturday,True
2022-01-09,20220109,2022,1,1,January,1,9,Sunday,True
2022-01-10,20220110,2022,1,1,January,2,10,Monday,False
2022-01-11,20220111,2022,1,1,January,2,11,Tuesday,False
2022-01-12,20220112,2022,1,1,January,2,12,Wednesday,False
2022-01-13,20220113,2022,1,1,January,2,13,Thursday,False
2022-01-14,20220114,2022,1,1,January,2,14,Friday,False
2022-01-15,20220115,2022,1,1,January,2,15,Saturday,True
2022-01-16,20220116,2022,1,1,January,2,16,Sunday,True
2022-01-17,20220117,2022,1,1,January,3,17,Monday,False
2022-01-18,20220118,2022,1,1,January,3,18,Tuesday,False
2022-01-19,20220119,2022,1,1,January,3,19,Wednesday,False
2022-01-20,20220120,2022,1,1,January,3,20,Thursday,False
2022-01-21,20220121,2022,1,1,January,3,21,Friday,False
2022-01-22,20220122,2022,1,1,January,3,22,Saturday,True
2022-01-23,20220123,2022,1,1,January,3,23,Sunday,True
2022-01-24,20220124,2022,1,1,January,4,24,Monday,False
2022-01-25,20220125,2022,1,1,January,4,25,Tuesday,False
2022-01-26,20220126,2022,1,1,January,4,26,Wednesday,False
2022-01-27,20220127,2022,1,1,January,4,27,Thursday,False
2022-01-28,20220128,2022,1,1,January,4,28,Friday,False
2022-01-29,20220129,2022,1,1,January,4,29,Saturday,True
2022-01-30,20220130,2022,1,1,January,4,30,Sunday,True
2022-01-31,20220131,2022,1,1,January,5,31,Monday,False
2022-02-01,20220201,2022,1,2,February,5,1,Tuesday,False
2022-02-02,20220202,2022,1,2,February,5,2,Wednesday,False
2022-02-03,20220203,2022,1,2,February,5,3,Thursday,False
2022-02-04,20220204,2022,1,2,February,5,4,Friday,False
2022-02-05,20220205,2022,1,2,February,5,5,Saturday,True
2022-02-06,20220206,2022,1,2,February,5,6,Sunday,True
2022-02-07,20220207,2022,1,2,February,6,7,Monday,False
2022-02-08,20220208,2022,1,2,February,6,8,Tuesday,False
2022-02-09,20220209,2022,1,2,February,6,9,Wednesday,False
2022-02-10,20220210,2022,1,2,February,6,10,Thursday,False
2022-02-11,20220211,2022,1,2,February,6,11,Friday,False
2022-02-12,20220212,2022,1,2,February,6,12,Saturday,True
2022-02-13,20220213,2022,1,2,February,6,13,Sunday,True
2022-02-14,20220214,2022,1,2,February,7,14,Monday,False
2022-02-15,20220215,2022,1,2,February,7,15,Tuesday,False
2022-02-16,20220216,2022,1,2,February,7,16,Wednesday,False
2022-02-17,20220217,2022,1,2,February,7,17,Thursday,False
2022-02-18,20220218,2022,1,2,February,7,18,Friday,False
2022-02-19,20220219,2022,1,2,February,7,19,Saturday,True
2022-02-20,20220220,2022,1,2,February,7,20,Sunday,True
2022-02-21,20220221,2022,1,2,February,8,21,Monday,False
2022-02-22,20220222,2022,1,2,February,8,22,Tuesday,False
2022-02-23,20220223,2022,1,2,February,8,23,Wednesday,False
2022-02-24,20220224,2022,1,2,February,8,24,Thursday,False
2022-02-25,20220225,2022,1,2,February,8,25,Friday,False
2022-02-26,20220226,2022,1,2,February,8,26,Saturday,True
2022-02-27,20220227,2022,1,2,February,8,27,Sunday,True
2022-02-28,20220228,2022,1,2,February,9,28,Monday,False
2022-03-01,20220301,2022,1,3,March,9,1,Tuesday,False
2022-03-02,20220302,2022,1,3,March,9,2,Wednesday,False
2022-03-03,20220303,2022,1,3,March,9,3,Thursday,False
2022-03-04,20220304,2022,1,3,March,9,4,Friday,False
2022-03-05,20220305,2022,1,3,March,9,5,Saturday,True
2022-03-06,20220306,2022,1,3,March,9,6,Sunday,True
2022-03-07,20220307,2022,1,3,March,10,7,Monday,False
2022-03-08,20220308,2022,1,3,March,10,8,Tuesday,False
2022-03-09,20220309,2022,1,3,March,10,9,Wednesday,False
2022-03-10,20220310,2022,1,3,March,10,10,Thursday,False
2022-03-11,20220311,2022,1,3,March,10,11,Friday,False
2022-03-12,20220312,2022,1,3,March,10,12,Saturday,True
2022-03-13,20220313,2022,1,3,March,10,13,Sunday,True
2022-03-14,20220314,2022,1,3,March,11,14,Monday,False
2022-03-15,20220315,2022,1,3,March,11,15,Tuesday,False
2022-03-16,20220316,2022,1,3,March,11,16,Wednesday,False
2022-03-17,20220317,2022,1,3,March,11,17,Thursday,False
2022-03-18,20220318,2022,1,3,March,11,18,Friday,False
2022-03-19,20220319,2022,1,3,March,11,19,Saturday,True
2022-03-20,20220320,2022,1,3,March,11,20,Sunday,True
2022-03-21,20220321,2022,1,3,March,12,21,Monday,False
2022-03-22,20220322,2022,1,3,March,12,22,Tuesday,False
2022-03-23,20220323,2022,1,3,March,12,23,Wednesday,False
2022-03-24,20220324,2022,1,3,March,12,24,Thursday,False
