CustomerCode,CustomerName,City,State,Industry,Segment,CreditLimit,RiskScore
CUST00094,"Vargas, Fischer and Martinez",New Stephanieville,ND,Construction,Medium,10000,7
CUST00095,Li-Taylor,South Timothyside,MH,Retail,Small,25000,77
CUST00096,"Sparks, Huffman and Sims",Reedbury,UT,Healthcare,Small,50000,48
CUST00097,Mcknight-Douglas,Michaelview,NY,Healthcare,Small,25000,94
CUST00098,Gilbert-Smith,West Mariamouth,SC,Government,Enterprise,25000,48
CUST00099,"Morris, Love and Kim",Port Hayleytown,ND,Government,Medium,50000,42
CUST00100,Allen LLC,Smithville,SD,Retail,Enterprise,25000,60
CUST00101,"Jones, Vasquez and Rodriguez",Marshallhaven,GA,Construction,Medium,25000,7
CUST00102,"Anderson, Galloway and Chase",South Brianmouth,WV,Education,Enterprise,100000,37
CUST00103,"Gilmore, Mcbride and Mann",Baileyshire,UT,Healthcare,Medium,10000,26
CUST00104,Swanson Ltd,Gardnerville,MA,Healthcare,Medium,100000,20
CUST00105,Clark Group,East Toddville,UT,Healthcare,Small,100000,64
CUST00106,"White, Gonzalez and Brock",Phelpsview,NC,Government,Medium,10000,2
CUST00107,"Riley, Davies and Hill",Cynthiaborough,RI,Education,Small,10000,32
CUST00108,Watts-Riggs,East Lisatown,VA,Construction,Medium,10000,42
CUST00109,Alvarez-Johnson,Meyersshire,VI,Manufacturing,Small,10000,7
CUST00110,Burns-Calhoun,Scottland,TN,Education,Enterprise,100000,55
CUST00111,Vasquez-Freeman,North Christina,MH,Education,Medium,10000,67
CUST00112,Wallace-Watkins,Rodriguezmouth,IA,Retail,Medium,50000,8
CUST00113,Li-Arnold,South Haileyton,GU,Manufacturing,Enterprise,50000,8
CUST00114,Harris-Richard,New Andrew,OH,Healthcare,Enterprise,10000,1
CUST00115,Rodriguez Ltd,Christopherfort,PW,Manufacturing,Medium,25000,73
CUST00116,"Cunningham, Moran and Clarke",New Cameronstad,WV,Healthcare,Medium,10000,33
CUST00117,"Hardy, Smith and Hill",Lake Julia,LA,Education,Small,50000,88
CUST00118,"Ryan, Gillespie and Petersen",Lake Keithberg,MP,Government,Medium,25000,8
CUST00119,Hughes-Stephenson,Port Morgan,NH,Manufacturing,Medium,100000,5
CUST00120,Harris LLC,Jenniferborough,ME,Manufacturing,Small,100000,73
CUST00121,Ortega-Tate,Darleneborough,ND,Manufacturing,Enterprise,25000,53
CUST00122,"Horn, Johnson and Coleman",Hillland,OR,Healthcare,Small,100000,4
CUST00123,"Thompson, Rodriguez and Mullins",Brandontown,ME,Healthcare,Enterprise,100000,99
CUST00124,"Barrett, Cook and Whitehead",New Michelle,IL,Retail,Medium,25000,53
CUST00125,"Smith, Reynolds and Mcgee",East Michaelmouth,IA,Construction,Small,100000,72
CUST00126,Ray PLC,West Zacharyhaven,ND,Education,Small,25000,2
CUST00127,Campbell Ltd,North Kyleland,KS,Retail,Medium,10000,25
CUST00128,Ward LLC,South Darrenstad,KS,Government,Enterprise,50000,3
CUST00129,Harmon-Johnson,Hernandezfurt,NC,Manufacturing,Small,50000,83
CUST00130,Phillips-Clark,New Jeffreyshire,ID,Government,Medium,50000,46
CUST00131,"Whitehead, Howard and Morales",Amberton,ME,Construction,Enterprise,100000,36
CUST00132,Parker-Dean,Lake Jason,FL,Education,Enterprise,10000,21
CUST00133,Garcia-Burton,North Brittanytown,TN,Education,Small,10000,62
CUST00134,"Cruz, Lozano and Mendez",New Shannon,FM,Education,Enterprise,100000,12
CUST00135,Green and Sons,Lake Elizabethtown,DE,Government,Enterprise,25000,22
CUST00136,Hill Ltd,Jefferyberg,CA,Construction,Small,10000,9
CUST00137,"Potter, Smith and Cortez",New Katherine,ID,Retail,Small,100000,92
CUST00138,Davis-Mills,New Dylanmouth,AS,Government,Medium,10000,49
CUST00139,Brooks-Yang,Port Malik,VA,Government,Enterprise,25000,36
CUST00140,Wolfe-Welch,Patriciashire,CT,Manufacturing,Small,100000,79
CUST00141,Campos-Perry,Torresshire,IA,Government,Enterprise,10000,67
CUST00142,Maddox-Daniels,Johnsonbury,VA,Government,Medium,10000,10
CUST00143,Lamb-Oconnor,Gardnermouth,RI,Education,Medium,50000,88
CUST00144,Brown Group,Denisemouth,AL,Government,Medium,25000,30
CUST00145,Lee-Ferguson,Pageport,GA,Government,Small,25000,64
CUST00146,Beasley Ltd,Ingramstad,MP,Government,Medium,25000,72
CUST00147,Davis-Sampson,Pittsstad,MH,Construction,Medium,25000,84
CUST00148,Clark LLC,East Amandamouth,PW,Retail,Medium,100000,75
CUST00149,Stephens and Sons,East Catherineside,FM,Construction,Medium,100000,54
CUST00150,Clark PLC,Bethchester,MI,Healthcare,Medium,25000,8
CUST00151,Phillips Inc,Christinaside,NV,Retail,Small,50000,38
CUST00152,"Norman, Young and Payne",West Sandraberg,IA,Government,Medium,25000,9
CUST00153,"Morgan, Williams and Cowan",Lake Katherine,WV,Education,Small,25000,91
CUST00154,Barton Group,Port Timothyshire,NE,Retail,Small,25000,16
CUST00155,Parker-Williams,Port Sarah,AL,Retail,Enterprise,100000,33
CUST00156,"Hart, Montgomery and Allison",East Rebekah,FM,Healthcare,Small,10000,87
CUST00157,Tran-Black,West Haley,PR,Education,Small,10000,92
CUST00158,Williams PLC,Kimton,KY,Construction,Small,50000,57
CUST00159,"Joyce, Fields and Garcia",South Joshuachester,WY,Construction,Enterprise,100000,16
CUST00160,Evans-Roberts,East John,AL,Construction,Small,100000,34
CUST00161,Edwards and Sons,Chrisport,NH,Education,Enterprise,10000,8
CUST00162,"Carey, Morgan and Howard",South Veronica,ME,Construction,Small,100000,42
CUST00163,Lam Inc,Amandatown,NJ,Government,Enterprise,25000,55
CUST00164,Adams-Conrad,Donnashire,AR,Construction,Enterprise,25000,4
CUST00165,"Williams, Valdez and Ortiz",Lake Lindsay,OH,Construction,Enterprise,25000,91
CUST00166,Taylor Group,North Erika,MS,Manufacturing,Medium,100000,34
CUST00167,Cantrell Group,Tiffanymouth,IN,Manufacturing,Medium,25000,15
CUST00168,Walker Ltd,East William,CA,Education,Medium,50000,100
CUST00169,"Blair, Evans and Kemp",Williammouth,WV,Construction,Small,25000,23
CUST00170,Dunlap-Rogers,Perkinsborough,NY,Education,Enterprise,50000,24
CUST00171,"Sanchez, Williams and Johnson",Kaneville,NY,Construction,Small,50000,26
CUST00172,Ingram-Mccormick,Lake Matthewside,ND,Construction,Enterprise,25000,2
CUST00173,Hoffman PLC,New Michelle,AK,Government,Small,50000,5
CUST00174,Rowe-Lee,Mcdanielshire,NH,Government,Medium,10000,99
CUST00175,"Stark, Berg and Martinez",Lake Michaelside,NE,Manufacturing,Small,100000,85
CUST00176,"Campbell, Cardenas and Martin",Dustinview,FM,Construction,Enterprise,50000,100
CUST00177,Roberts-Gonzalez,North John,RI,Manufacturing,Small,100000,98
CUST00178,Glenn LLC,Melissachester,HI,Retail,Medium,10000,84
CUST00179,Scott-Clark,North Anita,OR,Retail,Medium,50000,14
CUST00180,Hernandez Inc,Jenkinschester,KS,Government,Medium,10000,78
CUST00181,Johnson LLC,Nobleberg,MD,Education,Enterprise,100000,54
CUST00182,"Williams, Galloway and Thompson",West Anthonyton,VA,Government,Medium,25000,97
CUST00183,"Carpenter, Robinson and Mccarthy",North Amberville,SC,Government,Medium,10000,48
CUST00184,Brewer and Sons,Nicholastown,UT,Manufacturing,Small,25000,31
CUST00185,"Perez, Bailey and Allen",Mendozamouth,MN,Healthcare,Enterprise,10000,35
CUST00186,Bowman PLC,Davisbury,MA,Retail,Enterprise,25000,51
CUST00187,Mccarthy-Lane,West Joseph,IA,Retail,Medium,10000,56
CUST00188,Roy-Ibarra,New Andrewtown,AZ,Healthcare,Enterprise,10000,42
CUST00189,Banks-Mays,Port Julie,OK,Government,Medium,25000,68
CUST00190,"Mora, Wong and Phillips",Andrewtown,WI,Healthcare,Small,25000,14
CUST00191,Fox-Oliver,Kellyton,IL,Manufacturing,Medium,25000,2
CUST00192,"Mccann, Green and Hall",Chaseborough,NE,Education,Small,25000,21
CUST00193,Wiley LLC,South Phillip,MT,Retail,Small,100000,94
CUST00194,Taylor-Holloway,Hughesmouth,AS,Construction,Enterprise,25000,90
CUST00195,Lucas Group,Powersbury,GA,Retail,Small,100000,4
CUST00196,Carroll Group,Jamesshire,PA,Healthcare,Enterprise,10000,1
CUST00197,Williams-Hudson,Katieton,ND,Manufacturing,Medium,25000,93
CUST00198,"Mcclure, Murray and Cunningham",Johnburgh,MN,Construction,Medium,100000,45
CUST00199,Farley-Christensen,Eatonstad,UT,Government,Enterprise,25000,12
CUST00200,Allen and Sons,Owenshaven,UT,Manufacturing,Medium,50000,2
CUST00201,Soto Inc,Jasmineshire,WV,Government,Medium,25000,94
CUST00202,Stephens-Hines,East Jonathanview,ND,Healthcare,Medium,100000,8
CUST00203,"Brown, Keller and Simpson",Fredbury,FM,Construction,Medium,25000,5
CUST00204,Jenkins-Clark,Port Brian,FM,Retail,Medium,100000,41
CUST00205,Holland-Carter,Reedside,MA,Education,Medium,50000,65
CUST00206,"Gonzalez, Malone and Gillespie",Moralestown,LA,Retail,Medium,25000,30
CUST00207,"Joyce, Simmons and Mcdonald",Ashleyland,OR,Government,Medium,25000,100
CUST00208,Nelson-Palmer,Katherineview,AK,Healthcare,Small,50000,29
CUST00209,Harrison-Morris,Wademouth,IN,Manufacturing,Medium,10000,73
CUST00210,Galvan-Robertson,West Crystalfort,RI,Government,Medium,100000,78
CUST00211,Casey LLC,West Jason,FM,Education,Medium,100000,29
CUST00212,Hancock-Cook,East Paul,VI,Construction,Small,10000,40
CUST00213,"Marsh, Walters and Parker",Port Phillip,AZ,Construction,Enterprise,10000,97
CUST00214,"Walsh, Harris and Dixon",Thorntonbury,MP,Healthcare,Enterprise,100000,73
CUST00215,Phelps and Sons,Port Johnmouth,RI,Manufacturing,Enterprise,25000,88
CUST00216,"Hatfield, Davis and Mccarthy",Jasonville,LA,Retail,Medium,50000,61
CUST00217,"Acosta, Cordova and Greene",Westland,LA,Healthcare,Medium,10000,95
CUST00218,Aguilar and Sons,Heatherchester,OR,Construction,Medium,50000,60
CUST00219,"Arellano, Jordan and Mitchell",Kathrynside,VI,Education,Medium,10000,33
CUST00220,Rivera-Hernandez,Jakemouth,MP,Healthcare,Small,100000,26
CUST00221,"Howard, Price and Robinson",Markburgh,AZ,Retail,Small,100000,20
CUST00222,"Alexander, Fuller and Lopez",Williamston,ID,Construction,Medium,10000,72
CUST00223,"Nichols, King and Ayers",West Lesliefort,IA,Education,Small,10000,90
CUST00224,"Vasquez, Melton and Dudley",Lake Matthew,FM,Manufacturing,Enterprise,10000,85
CUST00225,Perry PLC,West Dustinmouth,OK,Government,Small,10000,81
CUST00226,Ward-Rodriguez,East Nicholashaven,CA,Education,Medium,50000,45
CUST00227,Pratt Group,Port Elizabeth,VT,Manufacturing,Medium,25000,24
CUST00228,"Gutierrez, Holmes and Gutierrez",Lindsayfort,AL,Government,Medium,10000,61
CUST00229,Stephens and Sons,New Waynestad,DC,Healthcare,Enterprise,50000,50
CUST00230,Jones-Barry,North Kimberlyland,PA,Education,Enterprise,10000,5
CUST00231,Ross-Green,Lake Misty,ND,Construction,Medium,50000,55
CUST00232,Young Inc,New Anthony,LA,Retail,Enterprise,100000,42
CUST00233,Cruz-Henry,Duranville,VT,Education,Small,50000,10
CUST00234,Williams-Barnett,Port Todd,NY,Manufacturing,Small,50000,81
CUST00235,Conrad Ltd,Andersonhaven,MP,Retail,Enterprise,10000,96
CUST00236,Jones-Ferrell,South Edward,SD,Retail,Enterprise,10000,96
CUST00237,Walsh Ltd,Cartershire,MT,Retail,Enterprise,25000,61
CUST00238,"Ross, Gibbs and Lawrence",Seanfurt,MA,Construction,Medium,100000,13
CUST00239,"Ball, Gardner and Crawford",Donaldville,TN,Manufacturing,Small,25000,48
CUST00240,Santiago PLC,South Brandonborough,AZ,Government,Medium,25000,23
CUST00241,Ortega Ltd,Lake Keith,AR,Education,Small,25000,38
CUST00242,"Stephens, Olsen and Willis",Vegaton,MS,Manufacturing,Enterprise,25000,96
CUST00243,"Sellers, Hernandez and Stokes",West Jeremy,HI,Retail,Enterprise,10000,56
CUST00244,Romero-Torres,North Dakotashire,PW,Construction,Medium,50000,28
CUST00245,Castillo Group,Lake Deborah,WY,Government,Medium,25000,73
CUST00246,Ramsey-Smith,South Samanthaton,TN,Healthcare,Enterprise,25000,41
CUST00247,Smith PLC,West Sharonside,ID,Manufacturing,Small,100000,47
CUST00248,"Morris, Farley and Lawrence",Meghanhaven,NC,Manufacturing,Small,25000,63
CUST00249,Haynes-Williams,Mccartybury,UT,Retail,Medium,10000,90
CUST00250,"Zavala, Hart and Robinson",Williamberg,MO,Healthcare,Medium,100000,7
CUST00251,Moore Inc,East Barbaraville,HI,Education,Enterprise,50000,16
CUST00252,"Gutierrez, Smith and White",Davidborough,MP,Manufacturing,Small,25000,58
CUST00253,Cardenas Group,North Stacy,VT,Retail,Medium,50000,38
CUST00254,Roth Group,New Bradleyville,ID,Healthcare,Small,100000,67
CUST00255,Young-Smith,Adamsberg,NC,Education,Medium,50000,96
CUST00256,Cooper-Goodwin,North Jameschester,NE,Government,Medium,10000,49
CUST00257,"Wilson, Clarke and Williams",West Manuel,ID,Government,Medium,100000,25
CUST00258,Walker Group,Lake Lindafurt,NJ,Education,Small,10000,23
CUST00259,"Sosa, Shaw and Moore",Lake Rachel,ME,Construction,Small,25000,33
CUST00260,Roman-Strong,East Diana,GU,Government,Enterprise,100000,4
CUST00261,"Gillespie, Torres and Maxwell",Margarethaven,MP,Government,Small,25000,56
CUST00262,"Chapman, Santiago and Kennedy",Port Tammy,ND,Construction,Enterprise,50000,70
CUST00263,Collins-Lynch,Bradleyside,VI,Education,Enterprise,50000,6
CUST00264,Reynolds-Evans,Coryfurt,PA,Construction,Medium,10000,90
CUST00265,Barnes PLC,Martinmouth,VA,Manufacturing,Small,100000,87
CUST00266,"Howard, Russell and Rodriguez",Hannahbury,AZ,Retail,Small,50000,8
CUST00267,Hernandez and Sons,New Norman,MN,Manufacturing,Small,25000,71
CUST00268,Miller-Nguyen,South Margaretport,KY,Retail,Enterprise,25000,16
CUST00269,Crawford Inc,Crosbyview,AR,Education,Medium,50000,72
CUST00270,Walker-Cooper,New Amandaville,MH,Education,Medium,50000,40
CUST00271,Marks and Sons,North Matthew,AS,Healthcare,Medium,100000,28
CUST00272,Gonzalez and Sons,New Daniel,VT,Construction,Enterprise,100000,8
CUST00273,Johnson-Saunders,West Karen,AZ,Government,Enterprise,50000,6
CUST00274,"Mejia, Ortega and Harris",Josephport,MS,Manufacturing,Small,10000,71
CUST00275,"Brown, Coleman and Miller",Thomaston,UT,Manufacturing,Enterprise,100000,68
CUST00276,"Martinez, Rogers and Goodwin",Davidborough,PW,Education,Enterprise,25000,58
CUST00277,"Calderon, Warren and Powell",Youngberg,MO,Construction,Enterprise,50000,7
CUST00278,Deleon-Cook,New Josephport,NM,Manufacturing,Medium,100000,97
CUST00279,"Thomas, Parker and Carrillo",Reynoldsport,MO,Construction,Small,10000,73
CUST00280,Mitchell LLC,Warrenfort,IN,Manufacturing,Medium,25000,54
CUST00281,Allen-Shea,East Christine,TX,Construction,Enterprise,50000,7
CUST00282,Dyer-Howe,Lake Colleenton,OR,Education,Medium,10000,14
CUST00283,"Castillo, Moore and Moore",Murphyside,CT,Government,Medium,50000,69
CUST00284,Durham Ltd,Thompsonview,MN,Education,Small,10000,55
CUST00285,"Mccoy, Koch and Curtis",Wilsonmouth,AL,Manufacturing,Enterprise,10000,47
CUST00286,Le-Frederick,Denniston,PW,Healthcare,Enterprise,25000,78
CUST00287,"Smith, Williams and Miller",Weberstad,MD,Construction,Small,10000,54
CUST00288,"Gonzalez, Ritter and Cortez",West Carlos,RI,Healthcare,Medium,50000,62
CUST00289,Weaver-Lamb,Lake Danielle,NC,Healthcare,Enterprise,100000,50
CUST00290,Wong-Johnson,Jordanstad,PW,Government,Medium,100000,44
CUST00291,Holt Group,Thomasbury,IA,Healthcare,Enterprise,100000,44
CUST00292,Martinez Group,North Melissachester,NC,Government,Small,10000,34
CUST00293,"Brown, Romero and Brown",New Elizabethchester,AS,Government,Medium,10000,71
CUST00294,Jones Inc,New Calebton,DE,Manufacturing,Small,10000,36
CUST00295,Hester Ltd,West Anthonyview,SD,Healthcare,Small,50000,92
CUST00296,Bell and Sons,Michaelport,OK,Manufacturing,Medium,25000,26
CUST00297,Brown-Dickson,West Stephanie,AK,Government,Medium,10000,36
CUST00298,Wu-Hansen,Michealville,MH,Government,Small,100000,97
CUST00299,Smith-Gallagher,Lake Nicholasbury,AS,Healthcare,Enterprise,25000,18
CUST00300,"Nichols, Johnson and Williams",North Davidchester,FM,Construction,Small,10000,57
CUST00301,"Green, Lee and Barr",New Tiffanyport,TX,Manufacturing,Small,25000,24
CUST00302,Gibson Inc,North Jeffreyton,PR,Retail,Enterprise,10000,63
CUST00303,Contreras Inc,Amyview,SD,Manufacturing,Enterprise,25000,94
CUST00304,Simmons-Burton,Murphyshire,TN,Manufacturing,Enterprise,100000,59
CUST00305,Hill-Smith,North James,MH,Retail,Enterprise,25000,46
CUST00306,Rodgers-Holmes,Lawrencemouth,HI,Retail,Medium,25000,8
CUST00307,Frazier and Sons,East Whitneyville,HI,Construction,Medium,50000,9
CUST00308,"Davies, Sampson and Martin",East Emilyview,NH,Retail,Enterprise,100000,94
CUST00309,"Collins, Mcdonald and Stephens",Kimton,VA,Healthcare,Small,100000,10
CUST00310,"Cruz, Parker and Donovan",Port Nichole,MI,Government,Small,50000,10
CUST00311,Farrell and Sons,Robinstad,KS,Education,Small,10000,39
CUST00312,Moore-Thomas,West Kelly,WA,Government,Enterprise,50000,29
CUST00313,Rhodes LLC,North Edward,GA,Manufacturing,Medium,50000,79
CUST00314,Melendez-Webb,Garrettside,MN,Education,Enterprise,25000,71
CUST00315,Williams Inc,East Vincentport,GA,Manufacturing,Medium,50000,40
CUST00316,"Lewis, Smith and Miller",Carolynborough,NV,Healthcare,Medium,10000,97
CUST00317,Lawrence-Wong,Walshside,IL,Government,Medium,100000,10
CUST00318,Blake-Thomas,East John,NC,Construction,Medium,25000,50
CUST00319,"Bennett, Espinoza and Delgado",West Devinmouth,LA,Government,Small,10000,48
CUST00320,Fisher and Sons,Jamesville,IN,Education,Small,100000,69
CUST00321,Wolf-Rodriguez,North Donnaport,ID,Retail,Enterprise,50000,94
CUST00322,Yoder LLC,Port Brendaview,MI,Education,Medium,10000,16
CUST00323,"Johnson, Bowman and Clark",Lake Stevenberg,KY,Healthcare,Small,25000,100
CUST00324,"Ramirez, Mcdonald and Lutz",Port Jacqueline,OR,Manufacturing,Enterprise,100000,6
CUST00325,"Adams, Brown and Aguilar",North Jessica,AL,Construction,Small,100000,48
CUST00326,Marsh Group,Petersonchester,IL,Healthcare,Medium,10000,9
CUST00327,"Shaffer, Rios and Simpson",Glassfurt,SD,Retail,Enterprise,100000,31
CUST00328,Mcfarland-Parker,New Bryan,HI,Healthcare,Small,25000,43
CUST00329,Cline PLC,East Shannon,AS,Construction,Enterprise,10000,13
CUST00330,Suarez and Sons,West Courtneymouth,CA,Construction,Medium,100000,79
CUST00331,Perez and Sons,North Loristad,KS,Education,Medium,25000,4
CUST00332,Jacobs and Sons,Barberbury,AS,Retail,Small,10000,2
CUST00333,"Miranda, Schneider and Fuentes",Lake Brandon,AS,Construction,Medium,100000,33
CUST00334,Estes-Roman,Thomasberg,HI,Healthcare,Small,50000,66
CUST00335,Kelley-Perez,North Jermaine,WY,Construction,Medium,25000,2
CUST00336,"Herrera, Shelton and Campbell",Parkerport,HI,Manufacturing,Small,50000,93
CUST00337,Hart-Smith,West Bryan,GA,Healthcare,Medium,50000,4
CUST00338,Evans Inc,Robertmouth,TX,Healthcare,Enterprise,50000,84
CUST00339,Nash-Garcia,West Melanie,OH,Education,Enterprise,25000,34
CUST00340,Franklin PLC,Donnamouth,NC,Education,Small,10000,94
CUST00341,"Lambert, Tucker and Potts",Adamstown,VT,Retail,Small,10000,84
CUST00342,Green-Turner,Calvinbury,SD,Government,Medium,50000,72
CUST00343,Griffin-Nguyen,Valenzuelastad,HI,Construction,Medium,25000,49
CUST00344,Fields-Price,Samanthaland,VI,Construction,Small,25000,4
