TransactionID,WarehouseCode,ProductCode,TransactionType,Quantity
116,DEN,FAS-0002,Beginning Balance,226
117,LAX,FAS-0002,Beginning Balance,449
118,MIA,FAS-0002,Beginning Balance,468
119,PHX,FAS-0002,Beginning Balance,436
120,SEA,FAS-0002,Beginning Balance,190
121,ATL,PWR-0003,Beginning Balance,318
122,CHI,PWR-0003,Beginning Balance,317
123,DAL,PWR-0003,Beginning Balance,444
124,DEN,PWR-0003,Beginning Balance,174
125,LAX,PWR-0003,Beginning Balance,413
126,MIA,PWR-0003,Beginning Balance,293
127,PHX,PWR-0003,Beginning Balance,465
128,SEA,PWR-0003,Beginning Balance,148
129,ATL,ELE-0005,Beginning Balance,318
130,CHI,ELE-0005,Beginning Balance,309
131,DAL,ELE-0005,Beginning Balance,421
132,DEN,ELE-0005,Beginning Balance,442
133,LAX,ELE-0005,Beginning Balance,312
134,MIA,ELE-0005,Beginning Balance,279
135,PHX,ELE-0005,Beginning Balance,173
136,SEA,ELE-0005,Beginning Balance,472
137,ATL,FAS-0003,Beginning Balance,210
138,CHI,FAS-0003,Beginning Balance,205
139,DAL,FAS-0003,Beginning Balance,444
140,DEN,FAS-0003,Beginning Balance,485
141,LAX,FAS-0003,Beginning Balance,240
142,MIA,FAS-0003,Beginning Balance,496
143,PHX,FAS-0003,Beginning Balance,305
144,SEA,FAS-0003,Beginning Balance,430
145,ATL,SAF-0003,Beginning Balance,400
146,CHI,SAF-0003,Beginning Balance,286
147,DAL,SAF-0003,Beginning Balance,308
148,DEN,SAF-0003,Beginning Balance,148
149,LAX,SAF-0003,Beginning Balance,334
150,MIA,SAF-0003,Beginning Balance,128
151,PHX,SAF-0003,Beginning Balance,111
152,SEA,SAF-0003,Beginning Balance,185
153,ATL,PWR-0004,Beginning Balance,196
154,CHI,PWR-0004,Beginning Balance,230
155,DAL,PWR-0004,Beginning Balance,320
156,DEN,PWR-0004,Beginning Balance,299
157,LAX,PWR-0004,Beginning Balance,449
158,MIA,PWR-0004,Beginning Balance,150
159,PHX,PWR-0004,Beginning Balance,382
160,SEA,PWR-0004,Beginning Balance,295
161,ATL,SAF-0004,Beginning Balance,226
162,CHI,SAF-0004,Beginning Balance,408
163,DAL,SAF-0004,Beginning Balance,151
164,DEN,SAF-0004,Beginning Balance,328
165,LAX,SAF-0004,Beginning Balance,363
166,MIA,SAF-0004,Beginning Balance,221
167,PHX,SAF-0004,Beginning Balance,358
168,SEA,SAF-0004,Beginning Balance,331
169,ATL,ELE-0006,Beginning Balance,212
170,CHI,ELE-0006,Beginning Balance,431
171,DAL,ELE-0006,Beginning Balance,446
172,DEN,ELE-0006,Beginning Balance,237
173,LAX,ELE-0006,Beginning Balance,162
174,MIA,ELE-0006,Beginning Balance,499
175,PHX,ELE-0006,Beginning Balance,273
176,SEA,ELE-0006,Beginning Balance,166
177,ATL,PWR-0005,Beginning Balance,288
178,CHI,PWR-0005,Beginning Balance,210
179,DAL,PWR-0005,Beginning Balance,457
180,DEN,PWR-0005,Beginning Balance,125
181,LAX,PWR-0005,Beginning Balance,127
182,MIA,PWR-0005,Beginning Balance,116
183,PHX,PWR-0005,Beginning Balance,208
184,SEA,PWR-0005,Beginning Balance,424
185,ATL,HVA-0006,Beginning Balance,423
186,CHI,HVA-0006,Beginning Balance,487
187,DAL,HVA-0006,Beginning Balance,209
188,DEN,HVA-0006,Beginning Balance,244
189,LAX,HVA-0006,Beginning Balance,409
190,MIA,HVA-0006,Beginning Balance,179
191,PHX,HVA-0006,Beginning Balance,400
192,SEA,HVA-0006,Beginning Balance,181
193,ATL,SAF-0005,Beginning Balance,450
194,CHI,SAF-0005,Beginning Balance,272
195,DAL,SAF-0005,Beginning Balance,348
196,DEN,SAF-0005,Beginning Balance,292
197,LAX,SAF-0005,Beginning Balance,292
198,MIA,SAF-0005,Beginning Balance,279
199,PHX,SAF-0005,Beginning Balance,324
200,SEA,SAF-0005,Beginning Balance,390
201,ATL,HVA-0007,Beginning Balance,232
202,CHI,HVA-0007,Beginning Balance,499
203,DAL,HVA-0007,Beginning Balance,335
204,DEN,HVA-0007,Beginning Balance,272
205,LAX,HVA-0007,Beginning Balance,125
206,MIA,HVA-0007,Beginning Balance,317
207,PHX,HVA-0007,Beginning Balance,423
208,SEA,HVA-0007,Beginning Balance,243
209,ATL,HVA-0008,Beginning Balance,190
210,CHI,HVA-0008,Beginning Balance,428
211,DAL,HVA-0008,Beginning Balance,450
212,DEN,HVA-0008,Beginning Balance,113
213,LAX,HVA-0008,Beginning Balance,472
214,MIA,HVA-0008,Beginning Balance,455
215,PHX,HVA-0008,Beginning Balance,235
216,SEA,HVA-0008,Beginning Balance,123
217,ATL,FAS-0004,Beginning Balance,363
218,CHI,FAS-0004,Beginning Balance,489
219,DAL,FAS-0004,Beginning Balance,245
220,DEN,FAS-0004,Beginning Balance,177
221,LAX,FAS-0004,Beginning Balance,139
222,MIA,FAS-0004,Beginning Balance,141
223,PHX,FAS-0004,Beginning Balance,344
224,SEA,FAS-0004,Beginning Balance,359
225,ATL,HVA-0009,Beginning Balance,330
226,CHI,HVA-0009,Beginning Balance,253
227,DAL,HVA-0009,Beginning Balance,275
228,DEN,HVA-0009,Beginning Balance,225
229,LAX,HVA-0009,Beginning Balance,390
230,MIA,HVA-0009,Beginning Balance,162
231,PHX,HVA-0009,Beginning Balance,145
232,SEA,HVA-0009,Beginning Balance,456
233,ATL,SAF-0006,Beginning Balance,262
234,CHI,SAF-0006,Beginning Balance,144
235,DAL,SAF-0006,Beginning Balance,210
236,DEN,SAF-0006,Beginning Balance,424
237,LAX,SAF-0006,Beginning Balance,481
238,MIA,SAF-0006,Beginning Balance,201
239,PHX,SAF-0006,Beginning Balance,347
240,SEA,SAF-0006,Beginning Balance,153
241,ATL,ELE-0007,Beginning Balance,256
242,CHI,ELE-0007,Beginning Balance,495
243,DAL,ELE-0007,Beginning Balance,310
244,DEN,ELE-0007,Beginning Balance,490
245,LAX,ELE-0007,Beginning Balance,350
246,MIA,ELE-0007,Beginning Balance,189
247,PHX,ELE-0007,Beginning Balance,255
248,SEA,ELE-0007,Beginning Balance,440
249,ATL,HVA-0010,Beginning Balance,195
250,CHI,HVA-0010,Beginning Balance,490
251,DAL,HVA-0010,Beginning Balance,304
252,DEN,HVA-0010,Beginning Balance,194
253,LAX,HVA-0010,Beginning Balance,461
254,MIA,HVA-0010,Beginning Balance,233
255,PHX,HVA-0010,Beginning Balance,372
256,SEA,HVA-0010,Beginning Balance,494
257,ATL,HVA-0011,Beginning Balance,230
258,CHI,HVA-0011,Beginning Balance,161
259,DAL,HVA-0011,Beginning Balance,269
260,DEN,HVA-0011,Beginning Balance,402
261,LAX,HVA-0011,Beginning Balance,360
262,MIA,HVA-0011,Beginning Balance,244
263,PHX,HVA-0011,Beginning Balance,481
264,SEA,HVA-0011,Beginning Balance,191
265,ATL,FAS-0005,Beginning Balance,474
266,CHI,FAS-0005,Beginning Balance,410
267,DAL,FAS-0005,Beginning Balance,377
268,DEN,FAS-0005,Beginning Balance,472
269,LAX,FAS-0005,Beginning Balance,406
270,MIA,FAS-0005,Beginning Balance,124
271,PHX,FAS-0005,Beginning Balance,131
272,SEA,FAS-0005,Beginning Balance,476
273,ATL,FAS-0006,Beginning Balance,222
274,CHI,FAS-0006,Beginning Balance,421
275,DAL,FAS-0006,Beginning Balance,365
276,DEN,FAS-0006,Beginning Balance,188
277,LAX,FAS-0006,Beginning Balance,296
278,MIA,FAS-0006,Beginning Balance,193
279,PHX,FAS-0006,Beginning Balance,445
280,SEA,FAS-0006,Beginning Balance,340
281,ATL,ELE-0008,Beginning Balance,127
282,CHI,ELE-0008,Beginning Balance,121
283,DAL,ELE-0008,Beginning Balance,171
284,DEN,ELE-0008,Beginning Balance,174
285,LAX,ELE-0008,Beginning Balance,147
286,MIA,ELE-0008,Beginning Balance,396
287,PHX,ELE-0008,Beginning Balance,438
288,SEA,ELE-0008,Beginning Balance,223
289,ATL,SAF-0007,Beginning Balance,456
290,CHI,SAF-0007,Beginning Balance,241
291,DAL,SAF-0007,Beginning Balance,334
292,DEN,SAF-0007,Beginning Balance,225
293,LAX,SAF-0007,Beginning Balance,426
294,MIA,SAF-0007,Beginning Balance,494
295,PHX,SAF-0007,Beginning Balance,230
296,SEA,SAF-0007,Beginning Balance,382
297,ATL,HVA-0012,Beginning Balance,358
298,CHI,HVA-0012,Beginning Balance,498
299,DAL,HVA-0012,Beginning Balance,108
300,DEN,HVA-0012,Beginning Balance,220
301,LAX,HVA-0012,Beginning Balance,402
302,MIA,HVA-0012,Beginning Balance,217
303,PHX,HVA-0012,Beginning Balance,358
304,SEA,HVA-0012,Beginning Balance,288
305,ATL,HVA-0013,Beginning Balance,484
306,CHI,HVA-0013,Beginning Balance,458
307,DAL,HVA-0013,Beginning Balance,168
308,DEN,HVA-0013,Beginning Balance,328
309,LAX,HVA-0013,Beginning Balance,259
310,MIA,HVA-0013,Beginning Balance,353
311,PHX,HVA-0013,Beginning Balance,288
312,SEA,HVA-0013,Beginning Balance,409
313,ATL,SAF-0008,Beginning Balance,489
314,CHI,SAF-0008,Beginning Balance,112
315,DAL,SAF-0008,Beginning Balance,366
316,DEN,SAF-0008,Beginning Balance,281
317,LAX,SAF-0008,Beginning Balance,459
318,MIA,SAF-0008,Beginning Balance,459
319,PHX,SAF-0008,Beginning Balance,480
320,SEA,SAF-0008,Beginning Balance,319
321,ATL,ELE-0009,Beginning Balance,228
322,CHI,ELE-0009,Beginning Balance,422
323,DAL,ELE-0009,Beginning Balance,385
324,DEN,ELE-0009,Beginning Balance,327
325,LAX,ELE-0009,Beginning Balance,241
326,MIA,ELE-0009,Beginning Balance,170
327,PHX,ELE-0009,Beginning Balance,128
328,SEA,ELE-0009,Beginning Balance,118
329,ATL,PWR-0006,Beginning Balance,319
330,CHI,PWR-0006,Beginning Balance,392
331,DAL,PWR-0006,Beginning Balance,283
332,DEN,PWR-0006,Beginning Balance,382
333,LAX,PWR-0006,Beginning Balance,391
334,MIA,PWR-0006,Beginning Balance,208
335,PHX,PWR-0006,Beginning Balance,200
336,SEA,PWR-0006,Beginning Balance,138
337,ATL,PWR-0007,Beginning Balance,140
338,CHI,PWR-0007,Beginning Balance,442
339,DAL,PWR-0007,Beginning Balance,154
340,DEN,PWR-0007,Beginning Balance,119
341,LAX,PWR-0007,Beginning Balance,362
342,MIA,PWR-0007,Beginning Balance,382
343,PHX,PWR-0007,Beginning Balance,210
344,SEA,PWR-0007,Beginning Balance,397
345,ATL,HVA-0014,Beginning Balance,278
346,CHI,HVA-0014,Beginning Balance,351
347,DAL,HVA-0014,Beginning Balance,162
348,DEN,HVA-0014,Beginning Balance,482
349,LAX,HVA-0014,Beginning Balance,262
350,MIA,HVA-0014,Beginning Balance,104
351,PHX,HVA-0014,Beginning Balance,379
352,SEA,HVA-0014,Beginning Balance,228
353,ATL,FAS-0007,Beginning Balance,360
354,CHI,FAS-0007,Beginning Balance,371
355,DAL,FAS-0007,Beginning Balance,439
356,DEN,FAS-0007,Beginning Balance,158
357,LAX,FAS-0007,Beginning Balance,358
358,MIA,FAS-0007,Beginning Balance,294
359,PHX,FAS-0007,Beginning Balance,396
360,SEA,FAS-0007,Beginning Balance,335
361,ATL,HVA-0015,Beginning Balance,438
362,CHI,HVA-0015,Beginning Balance,489
363,DAL,HVA-0015,Beginning Balance,432
364,DEN,HVA-0015,Beginning Balance,216
365,LAX,HVA-0015,Beginning Balance,419
366,MIA,HVA-0015,Beginning Balance,418
367,PHX,HVA-0015,Beginning Balance,442
368,SEA,HVA-0015,Beginning Balance,490
369,ATL,SAF-0009,Beginning Balance,229
370,CHI,SAF-0009,Beginning Balance,260
371,DAL,SAF-0009,Beginning Balance,113
372,DEN,SAF-0009,Beginning Balance,471
373,LAX,SAF-0009,Beginning Balance,105
374,MIA,SAF-0009,Beginning Balance,213
375,PHX,SAF-0009,Beginning Balance,230
376,SEA,SAF-0009,Beginning Balance,447
377,ATL,HVA-0016,Beginning Balance,259
378,CHI,HVA-0016,Beginning Balance,307
379,DAL,HVA-0016,Beginning Balance,397
380,DEN,HVA-0016,Beginning Balance,117
381,LAX,HVA-0016,Beginning Balance,145
382,MIA,HVA-0016,Beginning Balance,184
383,PHX,HVA-0016,Beginning Balance,305
384,SEA,HVA-0016,Beginning Balance,229
385,ATL,PWR-0008,Beginning Balance,287
386,CHI,PWR-0008,Beginning Balance,160
387,DAL,PWR-0008,Beginning Balance,203
388,DEN,PWR-0008,Beginning Balance,251
389,LAX,PWR-0008,Beginning Balance,498
390,MIA,PWR-0008,Beginning Balance,233
391,PHX,PWR-0008,Beginning Balance,500
392,SEA,PWR-0008,Beginning Balance,198
393,ATL,SAF-0010,Beginning Balance,421
394,CHI,SAF-0010,Beginning Balance,214
395,DAL,SAF-0010,Beginning Balance,271
396,DEN,SAF-0010,Beginning Balance,319
397,LAX,SAF-0010,Beginning Balance,111
398,MIA,SAF-0010,Beginning Balance,442
399,PHX,SAF-0010,Beginning Balance,220
400,SEA,SAF-0010,Beginning Balance,416
401,ATL,HVA-0017,Beginning Balance,163
402,CHI,HVA-0017,Beginning Balance,171
403,DAL,HVA-0017,Beginning Balance,201
404,DEN,HVA-0017,Beginning Balance,439
405,LAX,HVA-0017,Beginning Balance,291
406,MIA,HVA-0017,Beginning Balance,473
407,PHX,HVA-0017,Beginning Balance,395
408,SEA,HVA-0017,Beginning Balance,399
409,ATL,SAF-0011,Beginning Balance,110
410,CHI,SAF-0011,Beginning Balance,115
411,DAL,SAF-0011,Beginning Balance,441
412,DEN,SAF-0011,Beginning Balance,347
413,LAX,SAF-0011,Beginning Balance,144
414,MIA,SAF-0011,Beginning Balance,207
415,PHX,SAF-0011,Beginning Balance,172
416,SEA,SAF-0011,Beginning Balance,430
417,ATL,ELE-0010,Beginning Balance,366
418,CHI,ELE-0010,Beginning Balance,480
419,DAL,ELE-0010,Beginning Balance,320
420,DEN,ELE-0010,Beginning Balance,105
421,LAX,ELE-0010,Beginning Balance,166
422,MIA,ELE-0010,Beginning Balance,404
423,PHX,ELE-0010,Beginning Balance,271
424,SEA,ELE-0010,Beginning Balance,344
425,ATL,SAF-0012,Beginning Balance,201
426,CHI,SAF-0012,Beginning Balance,284
427,DAL,SAF-0012,Beginning Balance,242
428,DEN,SAF-0012,Beginning Balance,213
429,LAX,SAF-0012,Beginning Balance,155
430,MIA,SAF-0012,Beginning Balance,496
431,PHX,SAF-0012,Beginning Balance,360
432,SEA,SAF-0012,Beginning Balance,130
433,ATL,ELE-0011,Beginning Balance,189
434,CHI,ELE-0011,Beginning Balance,174
435,DAL,ELE-0011,Beginning Balance,475
436,DEN,ELE-0011,Beginning Balance,236
437,LAX,ELE-0011,Beginning Balance,287
438,MIA,ELE-0011,Beginning Balance,300
439,PHX,ELE-0011,Beginning Balance,121
440,SEA,ELE-0011,Beginning Balance,457
441,ATL,FAS-0008,Beginning Balance,496
442,CHI,FAS-0008,Beginning Balance,133
443,DAL,FAS-0008,Beginning Balance,300
444,DEN,FAS-0008,Beginning Balance,452
445,LAX,FAS-0008,Beginning Balance,106
446,MIA,FAS-0008,Beginning Balance,355
447,PHX,FAS-0008,Beginning Balance,283
448,SEA,FAS-0008,Beginning Balance,355
449,ATL,ELE-0012,Beginning Balance,361
450,CHI,ELE-0012,Beginning Balance,485
451,DAL,ELE-0012,Beginning Balance,211
452,DEN,ELE-0012,Beginning Balance,445
453,LAX,ELE-0012,Beginning Balance,427
454,MIA,ELE-0012,Beginning Balance,341
455,PHX,ELE-0012,Beginning Balance,174
456,SEA,ELE-0012,Beginning Balance,406
457,ATL,HVA-0018,Beginning Balance,247
458,CHI,HVA-0018,Beginning Balance,372
459,DAL,HVA-0018,Beginning Balance,203
460,DEN,HVA-0018,Beginning Balance,447
461,LAX,HVA-0018,Beginning Balance,191
462,MIA,HVA-0018,Beginning Balance,373
463,PHX,HVA-0018,Beginning Balance,345
464,SEA,HVA-0018,Beginning Balance,327
465,ATL,HVA-0019,Beginning Balance,172
466,CHI,HVA-0019,Beginning Balance,302
467,DAL,HVA-0019,Beginning Balance,153
468,DEN,HVA-0019,Beginning Balance,116
469,LAX,HVA-0019,Beginning Balance,460
470,MIA,HVA-0019,Beginning Balance,432
471,PHX,HVA-0019,Beginning Balance,383
472,SEA,HVA-0019,Beginning Balance,116
473,ATL,SAF-0013,Beginning Balance,160
474,CHI,SAF-0013,Beginning Balance,441
475,DAL,SAF-0013,Beginning Balance,137
476,DEN,SAF-0013,Beginning Balance,171
477,LAX,SAF-0013,Beginning Balance,399
478,MIA,SAF-0013,Beginning Balance,352
479,PHX,SAF-0013,Beginning Balance,160
480,SEA,SAF-0013,Beginning Balance,361
481,ATL,ELE-0013,Beginning Balance,305
482,CHI,ELE-0013,Beginning Balance,355
483,DAL,ELE-0013,Beginning Balance,354
484,DEN,ELE-0013,Beginning Balance,315
485,LAX,ELE-0013,Beginning Balance,434
486,MIA,ELE-0013,Beginning Balance,290
487,PHX,ELE-0013,Beginning Balance,473
488,SEA,ELE-0013,Beginning Balance,366
489,ATL,FAS-0009,Beginning Balance,172
490,CHI,FAS-0009,Beginning Balance,349
491,DAL,FAS-0009,Beginning Balance,168
492,DEN,FAS-0009,Beginning Balance,269
493,LAX,FAS-0009,Beginning Balance,314
494,MIA,FAS-0009,Beginning Balance,132
495,PHX,FAS-0009,Beginning Balance,275
496,SEA,FAS-0009,Beginning Balance,349
497,ATL,HVA-0020,Beginning Balance,415
498,CHI,HVA-0020,Beginning Balance,242
499,DAL,HVA-0020,Beginning Balance,201
500,DEN,HVA-0020,Beginning Balance,356
501,LAX,HVA-0020,Beginning Balance,253
502,MIA,HVA-0020,Beginning Balance,332
503,PHX,HVA-0020,Beginning Balance,100
504,SEA,HVA-0020,Beginning Balance,397
505,ATL,FAS-0010,Beginning Balance,424
506,CHI,FAS-0010,Beginning Balance,197
507,DAL,FAS-0010,Beginning Balance,185
508,DEN,FAS-0010,Beginning Balance,217
509,LAX,FAS-0010,Beginning Balance,454
510,MIA,FAS-0010,Beginning Balance,477
511,PHX,FAS-0010,Beginning Balance,215
512,SEA,FAS-0010,Beginning Balance,442
513,ATL,ELE-0014,Beginning Balance,278
514,CHI,ELE-0014,Beginning Balance,188
515,DAL,ELE-0014,Beginning Balance,319
516,DEN,ELE-0014,Beginning Balance,156
517,LAX,ELE-0014,Beginning Balance,500
518,MIA,ELE-0014,Beginning Balance,266
519,PHX,ELE-0014,Beginning Balance,473
520,SEA,ELE-0014,Beginning Balance,400
521,ATL,PWR-0009,Beginning Balance,366
522,CHI,PWR-0009,Beginning Balance,443
523,DAL,PWR-0009,Beginning Balance,249
524,DEN,PWR-0009,Beginning Balance,361
525,LAX,PWR-0009,Beginning Balance,227
526,MIA,PWR-0009,Beginning Balance,250
527,PHX,PWR-0009,Beginning Balance,406
528,SEA,PWR-0009,Beginning Balance,424
529,ATL,ELE-0015,Beginning Balance,320
530,CHI,ELE-0015,Beginning Balance,224
531,DAL,ELE-0015,Beginning Balance,159
532,DEN,ELE-0015,Beginning Balance,396
533,LAX,ELE-0015,Beginning Balance,368
534,MIA,ELE-0015,Beginning Balance,413
535,PHX,ELE-0015,Beginning Balance,414
536,SEA,ELE-0015,Beginning Balance,464
537,ATL,PWR-0010,Beginning Balance,185
538,CHI,PWR-0010,Beginning Balance,327
539,DAL,PWR-0010,Beginning Balance,285
540,DEN,PWR-0010,Beginning Balance,378
541,LAX,PWR-0010,Beginning Balance,495
542,MIA,PWR-0010,Beginning Balance,466
543,PHX,PWR-0010,Beginning Balance,310
544,SEA,PWR-0010,Beginning Balance,317
545,ATL,ELE-0016,Beginning Balance,374
546,CHI,ELE-0016,Beginning Balance,413
547,DAL,ELE-0016,Beginning Balance,424
548,DEN,ELE-0016,Beginning Balance,420
549,LAX,ELE-0016,Beginning Balance,237
550,MIA,ELE-0016,Beginning Balance,425
551,PHX,ELE-0016,Beginning Balance,203
552,SEA,ELE-0016,Beginning Balance,470
553,ATL,ELE-0017,Beginning Balance,423
554,CHI,ELE-0017,Beginning Balance,407
555,DAL,ELE-0017,Beginning Balance,316
556,DEN,ELE-0017,Beginning Balance,359
557,LAX,ELE-0017,Beginning Balance,337
558,MIA,ELE-0017,Beginning Balance,231
559,PHX,ELE-0017,Beginning Balance,241
560,SEA,ELE-0017,Beginning Balance,344
561,ATL,FAS-0011,Beginning Balance,337
562,CHI,FAS-0011,Beginning Balance,494
563,DAL,FAS-0011,Beginning Balance,214
564,DEN,FAS-0011,Beginning Balance,139
565,LAX,FAS-0011,Beginning Balance,413
566,MIA,FAS-0011,Beginning Balance,229
567,PHX,FAS-0011,Beginning Balance,273
568,SEA,FAS-0011,Beginning Balance,142
569,ATL,HVA-0021,Beginning Balance,308
570,CHI,HVA-0021,Beginning Balance,341
571,DAL,HVA-0021,Beginning Balance,172
572,DEN,HVA-0021,Beginning Balance,285
573,LAX,HVA-0021,Beginning Balance,216
574,MIA,HVA-0021,Beginning Balance,296
575,PHX,HVA-0021,Beginning Balance,252
576,SEA,HVA-0021,Beginning Balance,413
577,ATL,ELE-0018,Beginning Balance,163
578,CHI,ELE-0018,Beginning Balance,339
579,DAL,ELE-0018,Beginning Balance,226
580,DEN,ELE-0018,Beginning Balance,147
581,LAX,ELE-0018,Beginning Balance,433
582,MIA,ELE-0018,Beginning Balance,346
583,PHX,ELE-0018,Beginning Balance,152
584,SEA,ELE-0018,Beginning Balance,441
585,ATL,HVA-0022,Beginning Balance,266
586,CHI,HVA-0022,Beginning Balance,471
587,DAL,HVA-0022,Beginning Balance,390
588,DEN,HVA-0022,Beginning Balance,407
589,LAX,HVA-0022,Beginning Balance,464
590,MIA,HVA-0022,Beginning Balance,118
591,PHX,HVA-0022,Beginning Balance,172
592,SEA,HVA-0022,Beginning Balance,204
593,ATL,ELE-0019,Beginning Balance,361
594,CHI,ELE-0019,Beginning Balance,243
595,DAL,ELE-0019,Beginning Balance,200
596,DEN,ELE-0019,Beginning Balance,304
597,LAX,ELE-0019,Beginning Balance,445
598,MIA,ELE-0019,Beginning Balance,406
599,PHX,ELE-0019,Beginning Balance,113
600,SEA,ELE-0019,Beginning Balance,171
601,ATL,PWR-0011,Beginning Balance,299
602,CHI,PWR-0011,Beginning Balance,277
603,DAL,PWR-0011,Beginning Balance,128
604,DEN,PWR-0011,Beginning Balance,193
605,LAX,PWR-0011,Beginning Balance,390
606,MIA,PWR-0011,Beginning Balance,359
