ReturnID,OrderNumber,ShipmentID,ProductCode,ReturnDate,QuantityReturned,Reason
153,SO0001040,1040,SAF-0015,2021-05-14,5,Wrong Item
154,SO0001045,1045,ELE-0016,2022-07-04,5,Customer Changed Mind
155,SO0001056,1056,HVA-0013,2021-03-22,6,Wrong Item
156,SO0001069,1069,ELE-0012,2022-05-30,8,Shipping Damage
157,SO0001077,1077,PWR-0012,2021-02-25,13,Customer Changed Mind
158,SO0001083,1083,HVA-0022,2021-07-09,8,Defective
159,SO0001085,1085,FAS-0016,2025-02-18,6,Damaged
160,SO0001090,1090,ELE-0018,2023-05-03,17,Damaged
161,SO0001100,1100,ELE-0002,2025-02-23,1,Defective
162,SO0001103,1103,ELE-0020,2022-07-16,7,Wrong Item
163,SO0001108,1108,HVA-0026,2021-12-23,9,Defective
164,SO0001112,1112,ELE-0019,2022-10-13,10,Damaged
165,SO0001117,1117,FAS-0007,2022-10-12,2,Wrong Item
166,SO0001122,1122,ELE-0002,2025-07-23,4,Defective
167,SO0001127,1127,SAF-0006,2021-11-20,5,Defective
168,SO0001140,1140,FAS-0001,2025-09-18,1,Damaged
169,SO0001142,1142,HVA-0013,2023-11-21,6,Damaged
170,SO0001144,1144,FAS-0012,2024-09-01,3,Shipping Damage
171,SO0001145,1145,SAF-0016,2022-10-21,1,Shipping Damage
172,SO0001150,1150,FAS-0013,2021-09-15,1,Wrong Item
173,SO0001162,1162,PWR-0008,2025-02-08,3,Wrong Item
174,SO0001163,1163,FAS-0005,2024-04-25,12,Defective
175,SO0001165,1165,HVA-0021,2023-11-07,1,Defective
176,SO0001185,1185,FAS-0014,2025-08-14,6,Shipping Damage
177,SO0001187,1187,SAF-0004,2025-04-29,1,Damaged
178,SO0001192,1192,ELE-0007,2024-08-03,5,Wrong Item
179,SO0001200,1200,PWR-0007,2024-07-25,1,Wrong Item
180,SO0001206,1206,ELE-0019,2022-02-04,6,Defective
181,SO0001209,1209,ELE-0018,2022-11-12,14,Damaged
182,SO0001209,1209,PWR-0013,2022-11-20,6,Wrong Item
183,SO0001216,1216,SAF-0008,2024-09-26,7,Wrong Item
184,SO0001217,1217,SAF-0007,2023-09-24,4,Shipping Damage
185,SO0001218,1218,SAF-0006,2021-05-11,11,Defective
186,SO0001224,1224,HVA-0020,2023-03-06,2,Customer Changed Mind
187,SO0001224,1224,PWR-0010,2023-02-27,2,Wrong Item
188,SO0001236,1236,PWR-0007,2021-02-11,1,Damaged
189,SO0001246,1246,HVA-0020,2024-08-27,3,Shipping Damage
190,SO0001264,1264,HVA-0008,2022-04-27,13,Damaged
191,SO0001266,1266,HVA-0027,2025-05-13,1,Customer Changed Mind
192,SO0001270,1270,ELE-0015,2022-02-18,15,Defective
193,SO0001278,1278,HVA-0005,2023-08-26,1,Shipping Damage
194,SO0001281,1281,PWR-0004,2025-11-13,3,Customer Changed Mind
195,SO0001293,1293,HVA-0006,2025-02-05,3,Customer Changed Mind
196,SO0001297,1297,ELE-0021,2023-09-15,5,Customer Changed Mind
197,SO0001299,1299,FAS-0002,2021-09-08,8,Customer Changed Mind
198,SO0001300,1300,HVA-0015,2021-01-18,15,Customer Changed Mind
199,SO0001306,1306,FAS-0014,2024-04-19,1,Defective
200,SO0001314,1314,FAS-0015,2025-07-06,11,Customer Changed Mind
201,SO0001317,1317,ELE-0002,2025-04-17,2,Defective
202,SO0001321,1321,PWR-0014,2021-12-16,1,Defective
203,SO0001322,1322,PWR-0001,2022-01-31,7,Customer Changed Mind
204,SO0001326,1326,HVA-0024,2022-07-05,11,Defective
205,SO0001337,1337,HVA-0022,2024-04-20,8,Defective
206,SO0001341,1341,ELE-0008,2025-05-16,13,Shipping Damage
207,SO0001346,1346,SAF-0008,2022-09-25,3,Wrong Item
208,SO0001366,1366,ELE-0016,2024-12-07,1,Customer Changed Mind
209,SO0001367,1367,ELE-0023,2023-11-06,5,Damaged
210,SO0001370,1370,ELE-0003,2024-05-17,1,Shipping Damage
211,SO0001375,1375,HVA-0027,2025-03-15,4,Customer Changed Mind
212,SO0001395,1395,HVA-0015,2025-03-06,2,Defective
213,SO0001396,1396,HVA-0008,2022-10-26,13,Customer Changed Mind
214,SO0001399,1399,FAS-0011,2022-01-07,1,Wrong Item
215,SO0001424,1424,ELE-0023,2022-06-30,7,Damaged
216,SO0001425,1425,HVA-0023,2023-09-15,5,Shipping Damage
217,SO0001428,1428,HVA-0018,2023-12-25,10,Wrong Item
218,SO0001436,1436,HVA-0015,2022-04-01,2,Customer Changed Mind
219,SO0001438,1438,ELE-0003,2024-10-28,15,Damaged
220,SO0001446,1446,HVA-0022,2025-03-22,4,Damaged
221,SO0001449,1449,SAF-0010,2026-01-04,10,Damaged
222,SO0001449,1449,PWR-0011,2025-12-28,1,Wrong Item
223,SO0001462,1462,ELE-0022,2022-08-29,16,Shipping Damage
224,SO0001462,1462,PWR-0013,2022-08-16,7,Customer Changed Mind
225,SO0001470,1470,FAS-0005,2023-09-02,1,Shipping Damage
226,SO0001478,1478,ELE-0014,2023-02-13,8,Defective
227,SO0001481,1481,ELE-0001,2024-06-16,5,Defective
228,SO0001486,1486,HVA-0013,2021-04-20,3,Damaged
229,SO0001494,1494,PWR-0004,2024-12-26,8,Damaged
230,SO0001496,1496,HVA-0023,2025-09-23,1,Damaged
231,SO0001498,1498,HVA-0015,2021-08-03,2,Wrong Item
232,SO0001502,1502,SAF-0014,2024-06-24,6,Shipping Damage
233,SO0001503,1503,HVA-0004,2021-04-21,4,Shipping Damage
234,SO0001506,1506,ELE-0010,2025-08-14,2,Customer Changed Mind
235,SO0001507,1507,HVA-0023,2022-02-27,7,Defective
236,SO0001509,1509,SAF-0013,2021-06-28,1,Wrong Item
237,SO0001518,1518,SAF-0007,2021-03-10,1,Wrong Item
238,SO0001520,1520,ELE-0022,2022-04-25,6,Defective
239,SO0001521,1521,HVA-0028,2024-10-10,3,Customer Changed Mind
240,SO0001524,1524,SAF-0008,2025-10-13,7,Damaged
241,SO0001526,1526,FAS-0005,2024-05-21,1,Wrong Item
242,SO0001533,1533,ELE-0014,2025-10-11,14,Shipping Damage
243,SO0001558,1558,SAF-0009,2023-09-23,13,Customer Changed Mind
244,SO0001560,1560,ELE-0021,2021-04-09,3,Customer Changed Mind
245,SO0001562,1562,HVA-0002,2024-10-22,1,Damaged
246,SO0001577,1577,FAS-0018,2023-04-21,17,Defective
247,SO0001583,1583,HVA-0023,2023-02-20,3,Wrong Item
248,SO0001590,1590,ELE-0017,2023-04-20,5,Shipping Damage
249,SO0001593,1593,HVA-0004,2022-07-22,3,Customer Changed Mind
250,SO0001608,1608,HVA-0014,2023-04-19,6,Damaged
251,SO0001610,1610,HVA-0001,2023-08-07,11,Wrong Item
252,SO0001628,1628,HVA-0021,2025-12-26,1,Defective
253,SO0001629,1629,HVA-0001,2025-04-05,5,Wrong Item
254,SO0001661,1661,FAS-0017,2023-11-19,3,Customer Changed Mind
255,SO0001664,1664,SAF-0016,2023-01-21,1,Wrong Item
256,SO0001673,1673,ELE-0006,2022-05-11,5,Defective
257,SO0001678,1678,FAS-0008,2024-08-03,1,Customer Changed Mind
258,SO0001680,1680,ELE-0005,2022-10-01,5,Shipping Damage
259,SO0001682,1682,HVA-0019,2023-03-18,14,Damaged
260,SO0001689,1689,HVA-0001,2024-06-14,7,Shipping Damage
261,SO0001693,1693,PWR-0012,2024-04-09,5,Damaged
262,SO0001701,1701,HVA-0006,2022-02-12,4,Damaged
263,SO0001709,1709,SAF-0012,2022-02-03,4,Customer Changed Mind
264,SO0001714,1714,HVA-0018,2024-09-02,20,Shipping Damage
265,SO0001735,1735,FAS-0018,2021-05-13,4,Defective
266,SO0001750,1750,PWR-0012,2023-07-12,3,Shipping Damage
267,SO0001756,1756,SAF-0011,2021-10-20,12,Wrong Item
268,SO0001801,1801,HVA-0015,2023-12-14,15,Shipping Damage
269,SO0001804,1804,FAS-0003,2024-02-26,9,Damaged
270,SO0001804,1804,FAS-0009,2024-02-18,17,Customer Changed Mind
271,SO0001809,1809,HVA-0012,2023-12-03,1,Wrong Item
272,SO0001812,1812,ELE-0001,2021-09-12,15,Defective
273,SO0001843,1843,HVA-0023,2025-09-26,5,Customer Changed Mind
274,SO0001845,1845,SAF-0005,2025-01-03,1,Shipping Damage
275,SO0001848,1848,HVA-0006,2021-09-02,14,Wrong Item
276,SO0001853,1853,ELE-0001,2022-04-04,1,Wrong Item
277,SO0001853,1853,HVA-0024,2022-04-17,13,Wrong Item
278,SO0001855,1855,ELE-0008,2025-06-10,3,Shipping Damage
279,SO0001858,1858,ELE-0010,2024-02-21,3,Damaged
280,SO0001899,1899,ELE-0010,2024-06-18,4,Shipping Damage
281,SO0001916,1916,PWR-0004,2023-09-29,10,Wrong Item
282,SO0001927,1927,HVA-0009,2024-01-03,1,Shipping Damage
283,SO0001932,1932,HVA-0012,2023-11-11,12,Shipping Damage
284,SO0001936,1936,PWR-0010,2025-04-15,6,Damaged
285,SO0001942,1942,HVA-0006,2021-03-14,8,Defective
286,SO0001947,1947,ELE-0001,2021-06-15,2,Wrong Item
287,SO0001961,1961,FAS-0013,2023-07-04,2,Customer Changed Mind
288,SO0001970,1970,FAS-0012,2025-11-07,19,Wrong Item
289,SO0001974,1974,HVA-0021,2025-10-24,4,Shipping Damage
290,SO0001994,1994,SAF-0017,2023-08-01,7,Damaged
291,SO0001994,1994,ELE-0006,2023-07-31,13,Defective
292,SO0001995,1995,SAF-0008,2024-10-03,1,Damaged
293,SO0001996,1996,SAF-0017,2021-06-30,1,Shipping Damage
294,SO0002000,2000,SAF-0007,2022-02-17,4,Defective
295,SO0002010,2010,ELE-0021,2022-04-03,3,Defective
296,SO0002013,2013,HVA-0010,2021-06-09,4,Defective
297,SO0002016,2016,SAF-0013,2024-01-27,7,Wrong Item
298,SO0002026,2026,PWR-0014,2023-07-23,1,Customer Changed Mind
299,SO0002027,2027,FAS-0008,2025-12-16,13,Customer Changed Mind
300,SO0002034,2034,HVA-0001,2021-05-11,3,Shipping Damage
301,SO0002059,2059,PWR-0007,2023-11-01,2,Wrong Item
302,SO0002067,2067,HVA-0003,2025-10-02,1,Damaged
303,SO0002069,2069,HVA-0024,2024-06-26,7,Shipping Damage
304,SO0002090,2090,FAS-0004,2023-06-07,1,Shipping Damage
305,SO0002091,2091,ELE-0011,2022-11-03,13,Damaged
306,SO0002098,2098,ELE-0018,2022-10-05,11,Wrong Item
307,SO0002099,2099,PWR-0014,2021-12-04,2,Customer Changed Mind
308,SO0002104,2104,ELE-0006,2022-07-07,5,Wrong Item
309,SO0002107,2107,PWR-0013,2023-12-14,5,Wrong Item
310,SO0002135,2135,FAS-0010,2021-08-18,13,Wrong Item
311,SO0002140,2140,ELE-0007,2023-05-13,11,Damaged
312,SO0002151,2151,PWR-0004,2023-08-20,4,Defective
313,SO0002152,2152,ELE-0016,2024-02-24,2,Shipping Damage
314,SO0002164,2164,HVA-0018,2024-03-18,1,Wrong Item
315,SO0002172,2172,ELE-0014,2021-12-12,4,Defective
316,SO0002173,2173,HVA-0014,2023-04-20,3,Defective
317,SO0002183,2183,FAS-0015,2024-06-21,2,Damaged
318,SO0002185,2185,HVA-0002,2021-08-31,11,Shipping Damage
319,SO0002196,2196,HVA-0008,2024-12-01,6,Defective
320,SO0002198,2198,ELE-0018,2022-07-13,6,Wrong Item
321,SO0002211,2211,FAS-0005,2021-10-01,1,Damaged
322,SO0002221,2221,PWR-0009,2025-03-29,11,Shipping Damage
323,SO0002222,2222,FAS-0009,2025-10-14,1,Wrong Item
324,SO0002223,2223,SAF-0006,2025-02-08,6,Wrong Item
325,SO0002227,2227,FAS-0006,2021-04-02,12,Customer Changed Mind
326,SO0002230,2230,PWR-0013,2024-04-23,9,Shipping Damage
327,SO0002256,2256,HVA-0015,2024-11-04,1,Customer Changed Mind
328,SO0002274,2274,ELE-0012,2021-02-16,5,Wrong Item
329,SO0002286,2286,PWR-0013,2021-03-20,2,Customer Changed Mind
330,SO0002288,2288,ELE-0005,2021-06-14,4,Shipping Damage
331,SO0002299,2299,ELE-0003,2022-09-18,1,Defective
332,SO0002304,2304,SAF-0016,2022-04-30,9,Wrong Item
333,SO0002324,2324,ELE-0022,2025-10-26,1,Shipping Damage
334,SO0002345,2345,ELE-0007,2023-06-09,4,Customer Changed Mind
335,SO0002353,2353,ELE-0009,2024-08-26,9,Customer Changed Mind
336,SO0002360,2360,FAS-0014,2025-06-30,4,Defective
337,SO0002375,2375,HVA-0021,2024-04-12,8,Shipping Damage
338,SO0002385,2385,SAF-0003,2025-02-18,10,Customer Changed Mind
339,SO0002387,2387,SAF-0002,2025-09-15,1,Damaged
340,SO0002393,2393,ELE-0004,2022-01-16,16,Customer Changed Mind
341,SO0002408,2408,ELE-0017,2023-10-22,5,Damaged
342,SO0002422,2422,ELE-0004,2024-08-15,4,Customer Changed Mind
343,SO0002429,2429,HVA-0004,2022-01-30,2,Customer Changed Mind
344,SO0002433,2433,SAF-0002,2024-05-04,2,Shipping Damage
345,SO0002437,2437,HVA-0018,2022-08-11,5,Shipping Damage
346,SO0002442,2442,PWR-0004,2023-01-07,3,Customer Changed Mind
347,SO0002444,2444,FAS-0017,2021-09-28,9,Damaged
348,SO0002456,2456,HVA-0007,2023-03-26,18,Customer Changed Mind
349,SO0002460,2460,PWR-0008,2025-01-22,6,Customer Changed Mind
350,SO0002473,2473,ELE-0022,2022-12-17,2,Wrong Item
351,SO0002476,2476,SAF-0003,2022-04-05,1,Damaged
352,SO0002501,2501,HVA-0017,2025-06-29,1,Defective
353,SO0002508,2508,SAF-0015,2022-05-03,1,Defective
354,SO0002513,2513,ELE-0008,2025-05-13,2,Shipping Damage
355,SO0002538,2538,SAF-0007,2024-07-20,4,Customer Changed Mind
356,SO0002543,2543,FAS-0011,2025-11-21,3,Defective
357,SO0002544,2544,SAF-0012,2021-12-19,4,Wrong Item
358,SO0002544,2544,ELE-0020,2021-12-14,7,Customer Changed Mind
359,SO0002551,2551,PWR-0007,2022-11-02,15,Customer Changed Mind
360,SO0002575,2575,FAS-0002,2022-01-25,1,Shipping Damage
361,SO0002578,2578,PWR-0003,2023-11-20,7,Defective
362,SO0002578,2578,FAS-0013,2023-11-13,1,Shipping Damage
363,SO0002586,2586,HVA-0008,2025-08-22,1,Defective
364,SO0002587,2587,ELE-0002,2025-01-23,1,Shipping Damage
365,SO0002595,2595,SAF-0009,2025-06-20,1,Shipping Damage
366,SO0002598,2598,PWR-0002,2022-04-03,14,Defective
367,SO0002602,2602,HVA-0006,2023-05-30,1,Damaged
368,SO0002617,2617,HVA-0013,2025-10-14,11,Wrong Item
369,SO0002625,2625,ELE-0019,2022-03-05,5,Shipping Damage
370,SO0002625,2625,ELE-0022,2022-03-01,7,Shipping Damage
371,SO0002638,2638,PWR-0008,2022-05-20,4,Wrong Item
372,SO0002650,2650,HVA-0013,2025-12-02,5,Shipping Damage
373,SO0002653,2653,FAS-0002,2023-08-14,13,Customer Changed Mind
374,SO0002655,2655,FAS-0011,2021-04-19,9,Defective
375,SO0002666,2666,HVA-0022,2023-05-29,3,Shipping Damage
376,SO0002667,2667,HVA-0021,2022-09-29,2,Defective
377,SO0002668,2668,ELE-0003,2023-02-27,1,Defective
378,SO0002678,2678,HVA-0005,2021-04-26,7,Customer Changed Mind
379,SO0002680,2680,SAF-0003,2021-07-08,1,Damaged
380,SO0002686,2686,ELE-0014,2024-01-29,1,Shipping Damage
381,SO0002690,2690,ELE-0012,2025-09-12,14,Customer Changed Mind
382,SO0002690,2690,FAS-0009,2025-09-02,1,Defective
383,SO0002705,2705,HVA-0028,2023-12-29,7,Defective
384,SO0002712,2712,ELE-0014,2023-12-18,2,Damaged
385,SO0002718,2718,HVA-0016,2025-01-31,6,Customer Changed Mind
386,SO0002720,2720,HVA-0015,2025-12-29,11,Defective
387,SO0002721,2721,FAS-0008,2021-02-15,2,Customer Changed Mind
388,SO0002725,2725,FAS-0004,2022-03-17,1,Wrong Item
389,SO0002729,2729,PWR-0012,2024-04-29,15,Customer Changed Mind
390,SO0002736,2736,HVA-0026,2022-03-28,5,Wrong Item
391,SO0002754,2754,HVA-0012,2021-02-26,3,Shipping Damage
392,SO0002768,2768,SAF-0001,2025-08-01,9,Customer Changed Mind
393,SO0002768,2768,FAS-0012,2025-08-25,9,Damaged
394,SO0002769,2769,FAS-0002,2021-05-27,1,Defective
395,SO0002773,2773,SAF-0007,2026-01-18,6,Wrong Item
396,SO0002781,2781,FAS-0011,2022-11-30,6,Damaged
397,SO0002787,2787,ELE-0006,2025-09-17,5,Damaged
398,SO0002791,2791,SAF-0013,2021-03-11,3,Damaged
399,SO0002794,2794,ELE-0014,2025-07-02,1,Damaged
400,SO0002797,2797,ELE-0003,2025-01-23,1,Defective
401,SO0002812,2812,FAS-0004,2022-08-23,2,Wrong Item
402,SO0002816,2816,FAS-0018,2022-01-28,1,Customer Changed Mind
403,SO0002819,2819,FAS-0001,2025-11-02,4,Customer Changed Mind
404,SO0002820,2820,ELE-0010,2023-06-19,2,Customer Changed Mind
405,SO0002830,2830,ELE-0002,2025-09-05,1,Customer Changed Mind
406,SO0002838,2838,FAS-0013,2023-09-05,3,Customer Changed Mind
407,SO0002840,2840,PWR-0004,2025-02-10,11,Damaged
408,SO0002849,2849,PWR-0004,2024-05-19,6,Damaged
409,SO0002873,2873,HVA-0021,2025-01-24,2,Customer Changed Mind
410,SO0002876,2876,HVA-0018,2021-04-07,11,Customer Changed Mind
411,SO0002878,2878,ELE-0011,2025-08-14,2,Customer Changed Mind
412,SO0002898,2898,ELE-0002,2025-09-29,14,Shipping Damage
413,SO0002899,2899,FAS-0008,2021-04-15,1,Damaged
414,SO0002916,2916,ELE-0001,2024-09-12,6,Wrong Item
415,SO0002916,2916,HVA-0027,2024-09-04,1,Customer Changed Mind
