ProductCode,ProductName,Category,SubCategory,Brand,SupplierCode,UnitCost,UnitPrice,Weight,ReorderPoint,ReorderQuantity,IsActive
HVA-0016,Blower Motor,HVAC,,Industrial Plus,SUP011,187.53,266.11,75.18,91,500,1
PWR-0008,Angle Grinder,Power Tools,,NorthStar,SUP016,66.07,83.09,66.52,81,500,1
SAF-0010,Safety Glasses,Safety,,Industrial Plus,SUP016,216.13,294.98,44.59,47,50,1
HVA-0017,Air Filter,HVAC,,Apex,SUP005,161.36,224.14,69.53,172,500,1
SAF-0011,Hard Hat,Safety,,PrimeWorks,SUP003,46.56,70.95,78.22,145,250,1
ELE-0010,Electrical Wire,Electrical,,NorthStar,SUP010,77.31,117.69,108.55,154,50,1
SAF-0012,Safety Vest,Safety,,NorthStar,SUP011,69.3,105.97,19.29,164,250,1
ELE-0011,Wall Outlet,Electrical,,PrimeWorks,SUP006,113.2,149.04,71.15,57,25,1
FAS-0008,Concrete Anchors,Fasteners,,Apex,SUP012,157.39,240.22,56.23,61,500,1
ELE-0012,Light Switch,Electrical,,PrimeWorks,SUP007,110.73,167.89,101.89,105,100,1
HVA-0018,Flexible Duct,HVAC,,ProBuild,SUP013,133.84,173.78,4.2,46,250,1
HVA-0019,Vent Register,HVAC,,NorthStar,SUP010,94.25,126.45,36.54,91,100,1
SAF-0013,Ear Protection,Safety,,SafeGuard,SUP007,53.73,70.02,132.75,179,25,1
ELE-0013,Electrical Wire,Electrical,,MasterCraft,SUP015,100.59,121.21,25.88,70,100,1
FAS-0009,Washers,Fasteners,,ProBuild,SUP002,117.71,170.35,127.81,11,75,1
HVA-0020,Thermostat,HVAC,,NorthStar,SUP013,230.42,336.39,111.1,169,50,1
FAS-0010,Washers,Fasteners,,SafeGuard,SUP002,179.82,274.01,129.48,167,500,1
ELE-0014,Extension Cord,Electrical,,PrimeWorks,SUP013,187.42,267.84,75.4,62,100,1
PWR-0009,Cordless Drill,Power Tools,,Industrial Plus,SUP010,127.49,160.64,47.97,72,100,1
ELE-0015,Extension Cord,Electrical,,NorthStar,SUP013,171.18,235.17,75.03,52,500,1
PWR-0010,Angle Grinder,Power Tools,,Apex,SUP006,171.64,253.49,111.69,69,75,1
ELE-0016,Electrical Wire,Electrical,,ProBuild,SUP002,157.98,201.27,17.51,120,250,1
ELE-0017,Wall Outlet,Electrical,,MasterCraft,SUP011,97.21,118.57,40.96,96,250,1
FAS-0011,Lag Bolts,Fasteners,,Apex,SUP011,13.61,21.32,123.07,26,500,1
HVA-0021,Air Filter,HVAC,,NorthStar,SUP012,179.94,259.1,125.78,178,50,1
ELE-0018,Electrical Wire,Electrical,,SafeGuard,SUP001,93.68,118.78,147.96,35,100,1
HVA-0022,Vent Register,HVAC,,Titan,SUP012,238.16,370.76,107.1,129,25,1
ELE-0019,Wall Outlet,Electrical,,SafeGuard,SUP002,245.19,317.7,149.94,151,25,1
PWR-0011,Circular Saw,Power Tools,,Industrial Plus,SUP019,47.93,74.14,116.53,93,100,1
FAS-0012,Lag Bolts,Fasteners,,Industrial Plus,SUP015,195.32,299.09,60.99,136,100,1
HVA-0023,Flexible Duct,HVAC,,MasterCraft,SUP015,42.11,62.35,77.67,39,500,1
FAS-0013,Lag Bolts,Fasteners,,Industrial Plus,SUP003,148.79,207.72,128.27,120,500,1
ELE-0020,Light Switch,Electrical,,Industrial Plus,SUP014,11.49,14.68,97.84,76,100,1
PWR-0012,Hammer Drill,Power Tools,,SafeGuard,SUP015,17.42,26.31,62.87,49,100,1
ELE-0021,Extension Cord,Electrical,,SafeGuard,SUP011,231.4,356.74,48.07,104,50,1
SAF-0014,Safety Glasses,Safety,,NorthStar,SUP018,42.86,57.19,108.34,162,500,1
HVA-0024,Thermostat,HVAC,,SafeGuard,SUP010,25.04,36.11,115.57,189,75,1
HVA-0025,Blower Motor,HVAC,,SafeGuard,SUP001,111.39,167.69,123.14,112,25,1
FAS-0014,Lag Bolts,Fasteners,,MasterCraft,SUP011,96.04,128.22,67.13,164,500,1
FAS-0015,Wood Screws,Fasteners,,Apex,SUP010,106.33,128.83,32.8,180,25,1
ELE-0022,Wall Outlet,Electrical,,Titan,SUP009,61.35,78.02,41.04,97,100,1
PWR-0013,Impact Driver,Power Tools,,ProBuild,SUP007,81.55,115.88,60.06,143,25,1
SAF-0015,Work Gloves,Safety,,Titan,SUP018,132.98,164.3,49.85,178,75,1
FAS-0016,Lag Bolts,Fasteners,,Industrial Plus,SUP005,232.32,371.01,27.28,184,100,1
SAF-0016,Safety Glasses,Safety,,Titan,SUP008,6.79,10.67,52.32,83,25,1
FAS-0017,Washers,Fasteners,,NorthStar,SUP018,74.5,96.24,81.74,25,50,1
HVA-0026,Thermostat,HVAC,,ProBuild,SUP017,42.54,59.19,86.74,103,100,1
HVA-0027,Air Filter,HVAC,,MasterCraft,SUP011,42.62,62.42,140.72,68,75,1
PWR-0014,Cordless Drill,Power Tools,,Apex,SUP007,136.86,183.55,57.61,122,75,1
HVA-0028,Blower Motor,HVAC,,Industrial Plus,SUP016,173.77,225.95,66.06,34,50,1
ELE-0023,Extension Cord,Electrical,,Apex,SUP019,124.48,191.77,56.59,161,75,1
FAS-0018,Washers,Fasteners,,SafeGuard,SUP011,25.39,40.45,54.19,111,75,1
SAF-0017,Ear Protection,Safety,,Titan,SUP005,139.11,218.81,64.45,188,250,1
