OrderNumber,OrderDate,CustomerCode
SO0000568,2023-07-23,CUST00112
SO0000569,2022-05-01,CUST00245
SO0000570,2023-08-11,CUST00086
SO0000571,2025-10-07,CUST00153
SO0000572,2023-08-30,CUST00314
SO0000573,2024-07-26,CUST00110
SO0000574,2023-09-20,CUST00121
SO0000575,2022-08-15,CUST00363
SO0000576,2021-07-19,CUST00382
SO0000577,2025-10-15,CUST00016
SO0000578,2023-01-07,CUST00114
SO0000579,2025-08-02,CUST00099
SO0000580,2021-04-20,CUST00053
SO0000581,2023-06-19,CUST00024
SO0000582,2025-11-16,CUST00374
SO0000583,2021-08-15,CUST00267
SO0000584,2022-02-05,CUST00063
SO0000585,2024-09-20,CUST00128
SO0000586,2022-09-10,CUST00003
SO0000587,2024-09-21,CUST00262
SO0000588,2023-06-08,CUST00283
SO0000589,2025-08-01,CUST00020
SO0000590,2021-06-07,CUST00455
SO0000591,2021-11-05,CUST00008
SO0000592,2021-09-29,CUST00319
SO0000593,2024-04-11,CUST00131
SO0000594,2025-01-12,CUST00009
SO0000595,2021-05-17,CUST00184
SO0000596,2022-02-20,CUST00101
SO0000597,2022-10-07,CUST00471
SO0000598,2024-09-13,CUST00081
SO0000599,2024-05-04,CUST00067
SO0000600,2024-12-30,CUST00028
SO0000601,2025-03-23,CUST00277
SO0000602,2021-01-08,CUST00180
SO0000603,2023-08-29,CUST00075
SO0000604,2022-07-27,CUST00125
SO0000605,2023-01-14,CUST00227
SO0000606,2024-04-30,CUST00495
SO0000607,2025-12-07,CUST00163
SO0000608,2024-04-24,CUST00006
SO0000609,2021-06-15,CUST00056
SO0000610,2021-09-27,CUST00280
SO0000611,2025-05-06,CUST00097
SO0000612,2024-02-23,CUST00400
SO0000613,2025-08-25,CUST00342
SO0000614,2025-05-26,CUST00256
SO0000615,2024-06-01,CUST00022
SO0000616,2023-08-13,CUST00312
SO0000617,2023-02-15,CUST00242
SO0000618,2023-05-09,CUST00180
SO0000619,2023-05-20,CUST00453
SO0000620,2023-07-04,CUST00393
SO0000621,2023-07-29,CUST00185
SO0000622,2021-11-08,CUST00349
SO0000623,2023-04-12,CUST00420
SO0000624,2022-01-13,CUST00341
SO0000625,2024-05-29,CUST00426
SO0000626,2025-10-27,CUST00093
SO0000627,2021-11-02,CUST00236
SO0000628,2021-08-02,CUST00165
SO0000629,2022-04-15,CUST00144
SO0000630,2024-03-17,CUST00090
SO0000631,2024-01-13,CUST00414
SO0000632,2025-04-13,CUST00154
SO0000633,2021-12-26,CUST00397
SO0000634,2024-03-01,CUST00237
SO0000635,2021-04-07,CUST00023
SO0000636,2025-06-29,CUST00497
SO0000637,2025-12-28,CUST00399
SO0000638,2022-07-11,CUST00442
SO0000639,2024-09-25,CUST00174
SO0000640,2025-12-07,CUST00254
SO0000641,2022-10-24,CUST00312
SO0000642,2021-11-29,CUST00332
SO0000643,2023-01-21,CUST00355
SO0000644,2025-02-16,CUST00492
SO0000645,2025-11-28,CUST00298
SO0000646,2021-11-27,CUST00153
SO0000647,2024-12-22,CUST00167
SO0000648,2022-02-16,CUST00227
SO0000649,2024-04-08,CUST00049
SO0000650,2023-12-10,CUST00376
SO0000651,2025-06-02,CUST00152
SO0000652,2022-05-29,CUST00222
SO0000653,2025-01-15,CUST00436
SO0000654,2024-11-01,CUST00332
SO0000655,2021-07-08,CUST00087
SO0000656,2024-05-17,CUST00390
SO0000657,2024-07-14,CUST00384
SO0000658,2024-10-24,CUST00343
SO0000659,2021-11-11,CUST00211
SO0000660,2021-07-07,CUST00224
SO0000661,2023-12-13,CUST00351
SO0000662,2023-05-29,CUST00039
SO0000663,2022-07-04,CUST00267
SO0000664,2022-06-14,CUST00297
SO0000665,2021-07-12,CUST00181
SO0000666,2021-02-05,CUST00406
SO0000667,2025-11-19,CUST00263
SO0000668,2025-11-09,CUST00397
SO0000669,2025-01-24,CUST00365
SO0000670,2025-12-19,CUST00250
SO0000671,2022-09-04,CUST00234
SO0000672,2024-08-05,CUST00025
SO0000673,2021-06-30,CUST00438
SO0000674,2022-03-13,CUST00389
SO0000675,2022-02-26,CUST00414
SO0000676,2022-03-20,CUST00332
SO0000677,2022-04-13,CUST00134
SO0000678,2024-05-07,CUST00190
SO0000679,2022-10-20,CUST00352
SO0000680,2025-06-27,CUST00076
SO0000681,2022-07-20,CUST00237
SO0000682,2023-09-01,CUST00294
SO0000683,2024-12-10,CUST00143
SO0000684,2021-02-08,CUST00321
SO0000685,2021-10-17,CUST00380
SO0000686,2024-08-15,CUST00215
SO0000687,2024-01-07,CUST00434
SO0000688,2022-08-19,CUST00029
SO0000689,2022-06-23,CUST00253
SO0000690,2024-07-03,CUST00387
SO0000691,2021-05-14,CUST00474
SO0000692,2025-09-19,CUST00066
SO0000693,2024-08-21,CUST00066
SO0000694,2021-03-27,CUST00114
SO0000695,2022-01-07,CUST00209
SO0000696,2024-01-19,CUST00267
SO0000697,2021-01-16,CUST00116
SO0000698,2021-08-19,CUST00100
SO0000699,2025-08-25,CUST00062
SO0000700,2021-12-19,CUST00124
SO0000701,2022-08-01,CUST00301
SO0000702,2022-12-01,CUST00048
SO0000703,2023-06-18,CUST00327
SO0000704,2021-05-25,CUST00080
SO0000705,2024-03-31,CUST00181
SO0000706,2025-02-18,CUST00164
SO0000707,2025-04-13,CUST00283
SO0000708,2022-01-11,CUST00258
SO0000709,2025-12-24,CUST00462
SO0000710,2021-02-12,CUST00443
SO0000711,2021-10-25,CUST00280
SO0000712,2025-07-13,CUST00312
SO0000713,2024-12-12,CUST00174
SO0000714,2025-01-22,CUST00111
SO0000715,2023-10-26,CUST00349
SO0000716,2024-10-19,CUST00155
SO0000717,2022-11-14,CUST00027
SO0000718,2021-11-24,CUST00236
SO0000719,2023-05-24,CUST00484
SO0000720,2021-09-06,CUST00085
SO0000721,2024-12-13,CUST00154
SO0000722,2024-03-06,CUST00165
SO0000723,2021-05-24,CUST00196
SO0000724,2021-03-20,CUST00381
SO0000725,2021-03-26,CUST00381
SO0000726,2024-06-15,CUST00467
SO0000727,2021-09-04,CUST00079
SO0000728,2024-11-13,CUST00057
SO0000729,2024-12-06,CUST00028
SO0000730,2024-10-01,CUST00262
SO0000731,2025-08-21,CUST00177
SO0000732,2025-05-15,CUST00021
SO0000733,2021-03-30,CUST00241
SO0000734,2025-12-28,CUST00212
